age,sex,i,prev,f
0,female,0.0,0.0,0.0
0,male,0.0,0.0,0.0
1,female,0.0,0.0,0.0
1,male,0.0,0.0,0.0
2,female,0.0,0.0,0.0
2,male,0.0,0.0,0.0
3,female,0.0,0.0,0.0
3,male,0.0,0.0,0.0
4,female,0.0,0.0,0.0
4,male,0.0,0.0,0.0
5,female,0.15494010957088095,0.2689660395291031,0.20609214489695665
5,male,0.17523192003730073,0.3064856477454367,0.2324912049004492
6,female,0.15494010957088095,0.2010661919609281,0.20609214489695665
6,male,0.17523192003730073,0.2295602742007869,0.2324912049004492
7,female,0.15494010957088095,0.16032800117200208,0.20609214489695665
7,male,0.17523192003730073,0.1834053700334447,0.2324912049004492
8,female,0.15494010957088095,0.15052845688245658,0.20609214489695665
8,male,0.17523192003730073,0.1958120939901574,0.2324912049004492
9,female,0.15494010957088095,0.14180569673867185,0.20609214489695665
9,male,0.17523192003730073,0.2100599208796823,0.2324912049004492
10,female,0.18138497601224368,0.20617352031948474,0.2368828228030243
10,male,0.18049174824874967,0.15630809433439047,0.2399238539848346
11,female,0.18138497601224368,0.1960894628723221,0.2368828228030243
11,male,0.18049174824874967,0.1698619972895522,0.2399238539848346
12,female,0.18138497601224368,0.18695556988022125,0.2368828228030243
12,male,0.18049174824874967,0.1860025159968763,0.2399238539848346
13,female,0.18138497601224368,0.14345943069553,0.2368828228030243
13,male,0.18049174824874967,0.09600713386268436,0.2399238539848346
14,female,0.18138497601224368,0.11640688126611633,0.2368828228030243
14,male,0.18049174824874967,0.06468652430743486,0.2399238539848346
15,female,0.19178961629160304,0.2555680396654737,0.24517333437298647
15,male,0.23351912061774885,0.35584505333612626,0.2989291913392512
16,female,0.19178961629160304,0.2206348613517624,0.24517333437298647
16,male,0.23351912061774885,0.28552182799356746,0.2989291913392512
17,female,0.19178961629160304,0.19412916654602097,0.24517333437298647
17,male,0.23351912061774885,0.2383785452459026,0.2989291913392512
18,female,0.19178961629160304,0.13052720757349934,0.24517333437298647
18,male,0.23351912061774885,0.1817931743045579,0.2989291913392512
19,female,0.19178961629160304,0.09834312566148924,0.24517333437298647
19,male,0.23351912061774885,0.1468978463291811,0.2989291913392512
20,female,0.22676075648125565,0.32374874832258355,0.28538000967250254
20,male,0.209569387591883,0.283519247227578,0.2604292078534551
21,female,0.22676075648125565,0.2692612199830171,0.28538000967250254
