age,sex,i,prev,f
0,female,0.2768777059240241,0.5232099041463344,0.37931863362875484
0,male,0.25586069333829137,0.46170103437563464,0.34917553008894153
1,female,0.23690557690525346,0.21905703552665579,0.3305525872887825
1,male,0.2259524469399508,0.18393242444199373,0.29813960739404444
2,female,0.23690557690525346,0.22741122927141044,0.3305525872887825
2,male,0.2259524469399508,0.1924481650898786,0.29813960739404444
3,female,0.23690557690525346,0.2031639366216285,0.3305525872887825
3,male,0.2259524469399508,0.20816974595408289,0.29813960739404444
4,female,0.23690557690525346,0.15878197603865618,0.3305525872887825
4,male,0.2259524469399508,0.1792640458348457,0.29813960739404444
5,female,0.18035855056347141,0.7243021685395267,0.5363909510520524
5,male,0.1889366230979876,0.671407596666421,0.5347628199312529
6,female,0.18035855056347141,0.611306563438165,0.5363909510520524
6,male,0.1889366230979876,0.5963454285075436,0.5347628199312529
7,female,0.18035855056347141,0.5276119288380144,0.5363909510520524
7,male,0.1889366230979876,0.535463569613578,0.5347628199312529
8,female,0.18035855056347141,0.5189989344697404,0.5363909510520524
8,male,0.1889366230979876,0.5038865971913316,0.5347628199312529
9,female,0.18035855056347141,0.5145882507314187,0.5363909510520524
9,male,0.1889366230979876,0.4794136490102948,0.5347628199312529
10,female,0.17110022889974721,0.4491302213310376,0.47100107081605264
10,male,0.1639936514538332,0.43104461256365334,0.42081677591407973
11,female,0.17110022889974721,0.44537710430179756,0.47100107081605264
11,male,0.1639936514538332,0.41196300540416697,0.42081677591407973
12,female,0.17110022889974721,0.441686192640881,0.47100107081605264
12,male,0.1639936514538332,0.3944992010556918,0.42081677591407973
13,female,0.17110022889974721,0.41737518032289866,0.47100107081605264
13,male,0.1639936514538332,0.33719783378392254,0.42081677591407973
14,female,0.17110022889974721,0.395600772575226,0.47100107081605264
14,male,0.1639936514538332,0.2944314048074693,0.42081677591407973
15,female,0.2631422076182771,0.3090091443984571,0.3751491717267025
15,male,0.23983183720353426,0.2884743837947967,0.3213913704357106
16,female,0.2631422076182771,0.2954784460789607,0.3751491717267025
16,male,0.23983183720353426,0.25929027323164244,0.3213913704357106
17,female,0.2631422076182771,0.283172177532873,0.3751491717267025
17,male,0.23983183720353426,0.235715573017217,0.3213913704357106
18,female,0.2631422076182771,0.27972664786610846,0.3751491717267025
18,male,0.23983183720353426,0.23862597881389094,0.3213913704357106
19,female,0.2631422076182771,0.27639147851263096,0.3751491717267025
19,male,0.23983183720353426,0.2415946133090443,0.3213913704357106
20,female,0.26421031718025406,0.317697008087508,0.36631801982656564
20,male,0.22730645966078508,0.24714487056609663,0.3154185057239578
21,female,0.26421031718025406,0.3116444300592725,0.36631801982656564
21,male,0.22730645966078508,0.24886724047436007,0.3154185057239578
22,female,0.26421031718025406,0.30577620228981284,0.36631801982656564
22,male,0.22730645966078508,0.25062613760074426,0.3154185057239578
23,female,0.26421031718025406,0.28800483488968737,0.36631801982656564
23,male,0.22730645966078508,0.20488137188719674,0.3154185057239578
24,female,0.26421031718025406,0.27206714218054584,0.36631801982656564
24,male,0.22730645966078508,0.17352107928998553,0.3154185057239578
25,female,0.2520085418097997,0.321379558454099,0.35349526197417486
25,male,0.22338217931040358,0.30923192715520675,0.31776373094839655
26,female,0.2520085418097997,0.3063841869889894,0.35349526197417486
26,male,0.22338217931040358,0.2730683887731895,0.31776373094839655
27,female,0.2520085418097997,0.2927257829692873,0.35349526197417486
27,male,0.22338217931040358,0.24447762791026034,0.31776373094839655
28,female,0.2520085418097997,0.2730403716864118,0.35349526197417486
28,male,0.22338217931040358,0.2155808091042606,0.31776373094839655
29,female,0.2520085418097997,0.25583576406554065,0.35349526197417486
29,male,0.22338217931040358,0.19279301875455604,0.31776373094839655
30,female,0.25963766221328205,0.3395730108584919,0.3698645829820573
30,male,0.22072880723773197,0.2997044680603125,0.3238268278635616
31,female,0.25963766221328205,0.3205708047770656,0.3698645829820573
31,male,0.22072880723773197,0.273553078120505,0.3238268278635616
32,female,0.25963766221328205,0.3035825908451386,0.3698645829820573
32,male,0.22072880723773197,0.25159922018138725,0.3238268278635616
33,female,0.25963766221328205,0.2880325378883293,0.3698645829820573
33,male,0.22072880723773197,0.22239640288588836,0.3238268278635616
34,female,0.25963766221328205,0.273997868278575,0.3698645829820573
34,male,0.22072880723773197,0.19926764791313523,0.3238268278635616
