age,sex,incidence
0,female,0.0
0,male,0.0
1,female,0.0
1,male,0.0
2,female,0.0
2,male,0.0
3,female,0.0
3,male,0.0
4,female,0.0
4,male,0.0
5,female,0.0
5,male,0.0
6,female,0.0
6,male,0.0
7,female,0.0
7,male,0.0
8,female,0.0
8,male,0.0
9,female,0.0
9,male,0.0
10,female,0.0
10,male,0.0
11,female,0.0
11,male,0.0
12,female,0.0
12,male,0.0
13,female,0.0
13,male,0.0
14,female,0.0
14,male,0.0
15,female,0.0
15,male,0.0
16,female,0.0
16,male,0.0
17,female,0.0
17,male,0.0
18,female,0.0
18,male,0.0
19,female,0.0
19,male,0.0
20,female,0.15217386987183182
20,male,0.14397805711421532
21,female,0.15217386987183182
21,male,0.14397805711421532
22,female,0.15217386987183182
22,male,0.14397805711421532
23,female,0.15217386987183182
23,male,0.14397805711421532
24,female,0.15217386987183182
24,male,0.14397805711421532
25,female,0.19221666978161558
25,male,0.1307286519788649
26,female,0.19221666978161558
26,male,0.1307286519788649
27,female,0.19221666978161558
27,male,0.1307286519788649
28,female,0.19221666978161558
28,male,0.1307286519788649
29,female,0.19221666978161558
29,male,0.1307286519788649
30,female,0.24699987183367206
30,male,0.22199726987004137
31,female,0.24699987183367206
31,male,0.22199726987004137
32,female,0.24699987183367206
32,male,0.22199726987004137
33,female,0.24699987183367206
33,male,0.22199726987004137
34,female,0.24699987183367206
34,male,0.22199726987004137
35,female,0.2636716612304455
35,male,0.23053906551097683
36,female,0.2636716612304455
36,male,0.23053906551097683
37,female,0.2636716612304455
37,male,0.23053906551097683
38,female,0.2636716612304455
38,male,0.23053906551097683
39,female,0.2636716612304455
39,male,0.23053906551097683
40,female,0.2400045936374168
40,male,0.2132548289889794
41,female,0.2400045936374168
41,male,0.2132548289889794
42,female,0.2400045936374168
42,male,0.2132548289889794
43,female,0.2400045936374168
43,male,0.2132548289889794
44,female,0.2400045936374168
44,male,0.2132548289889794
45,female,0.23488587432642066
45,male,0.22916942857744432
46,female,0.23488587432642066
46,male,0.22916942857744432
47,female,0.23488587432642066
47,male,0.22916942857744432
48,female,0.23488587432642066
48,male,0.22916942857744432
49,female,0.23488587432642066
49,male,0.22916942857744432
50,female,0.22567903024213776
50,male,0.21804570420996522
51,female,0.22567903024213776
51,male,0.21804570420996522
52,female,0.22567903024213776
52,male,0.21804570420996522
53,female,0.22567903024213776
53,male,0.21804570420996522
54,female,0.22567903024213776
54,male,0.21804570420996522
55,female,0.20554236082323687
55,male,0.23035564203896666
56,female,0.20554236082323687
56,male,0.23035564203896666
57,female,0.20554236082323687
57,male,0.23035564203896666
58,female,0.20554236082323687
58,male,0.23035564203896666
59,female,0.20554236082323687
59,male,0.23035564203896666
60,female,0.21244240605309636
60,male,0.21774239832749834
61,female,0.21244240605309636
61,male,0.21774239832749834
62,female,0.21244240605309636
62,male,0.21774239832749834
63,female,0.21244240605309636
63,male,0.21774239832749834
64,female,0.21244240605309636
64,male,0.21774239832749834
65,female,0.21194913900715312
65,male,0.23401771687999798
66,female,0.21194913900715312
66,male,0.23401771687999798
67,female,0.21194913900715312
67,male,0.23401771687999798
68,female,0.21194913900715312
68,male,0.23401771687999798
69,female,0.21194913900715312
69,male,0.23401771687999798
70,female,0.20837052718906374
70,male,0.23928720051457145
71,female,0.20837052718906374
71,male,0.23928720051457145
72,female,0.20837052718906374
72,male,0.23928720051457145
73,female,0.20837052718906374
73,male,0.23928720051457145
74,female,0.20837052718906374
74,male,0.23928720051457145
75,female,0.2011109235558357
75,male,0.23712923472536487
76,female,0.2011109235558357
76,male,0.23712923472536487
77,female,0.2011109235558357
77,male,0.23712923472536487
78,female,0.2011109235558357
78,male,0.23712923472536487
79,female,0.2011109235558357
79,male,0.23712923472536487
80,female,0.23375152203872898
80,male,0.22967981395764742
81,female,0.23375152203872898
81,male,0.22967981395764742
82,female,0.23375152203872898
82,male,0.22967981395764742
83,female,0.23375152203872898
83,male,0.22967981395764742
84,female,0.23375152203872898
84,male,0.22967981395764742
85,female,0.22282494827605512
85,male,0.1896509429188409
86,female,0.22282494827605512
86,male,0.1896509429188409
87,female,0.22282494827605512
87,male,0.1896509429188409
88,female,0.22282494827605512
88,male,0.1896509429188409
89,female,0.22282494827605512
89,male,0.1896509429188409
90,female,0.26685009315730396
90,male,0.2196596791217402
91,female,0.26685009315730396
91,male,0.2196596791217402
92,female,0.26685009315730396
92,male,0.2196596791217402
93,female,0.26685009315730396
93,male,0.2196596791217402
94,female,0.26685009315730396
94,male,0.2196596791217402
95,female,0.2781598941439342
95,male,0.29595860873600155
96,female,0.2781598941439342
96,male,0.29595860873600155
97,female,0.2781598941439342
97,male,0.29595860873600155
98,female,0.2781598941439342
98,male,0.29595860873600155
99,female,0.2781598941439342
99,male,0.29595860873600155
100,female,0.2781598941439342
100,male,0.29595860873600155
101,female,0.2781598941439342
101,male,0.29595860873600155
102,female,0.2781598941439342
102,male,0.29595860873600155
103,female,0.2781598941439342
103,male,0.29595860873600155
104,female,0.2781598941439342
104,male,0.29595860873600155
105,female,0.2781598941439342
105,male,0.29595860873600155
106,female,0.2781598941439342
106,male,0.29595860873600155
107,female,0.2781598941439342
107,male,0.29595860873600155
108,female,0.2781598941439342
108,male,0.29595860873600155
109,female,0.2781598941439342
109,male,0.29595860873600155
