age,sex,i,prev,f
0,female,0.0,0.0,0.0
0,male,0.0,0.0,0.0
1,female,0.0,0.0,0.0
1,male,0.0,0.0,0.0
2,female,0.0,0.0,0.0
2,male,0.0,0.0,0.0
3,female,0.0,0.0,0.0
3,male,0.0,0.0,0.0
4,female,0.0,0.0,0.0
4,male,0.0,0.0,0.0
5,female,0.0,0.0,0.0
5,male,0.0,0.0,0.0
6,female,0.0,0.0,0.0
6,male,0.0,0.0,0.0
7,female,0.0,0.0,0.0
7,male,0.0,0.0,0.0
8,female,0.0,0.0,0.0
8,male,0.0,0.0,0.0
9,female,0.0,0.0,0.0
9,male,0.0,0.0,0.0
10,female,0.0,0.0,0.0
10,male,0.0,0.0,0.0
11,female,0.0,0.0,0.0
11,male,0.0,0.0,0.0
12,female,0.0,0.0,0.0
12,male,0.0,0.0,0.0
13,female,0.0,0.0,0.0
13,male,0.0,0.0,0.0
14,female,0.0,0.0,0.0
14,male,0.0,0.0,0.0
15,female,0.146808407317529,0.25916755467152414,0.1800010158159931
15,male,0.14345719190136158,0.2362916723280221,0.15474901543343697
16,female,0.146808407317529,0.19393069061524068,0.1800010158159931
16,male,0.14345719190136158,0.17684016342961273,0.15474901543343697
17,female,0.146808407317529,0.1547893845960482,0.1800010158159931
17,male,0.14345719190136158,0.14116990556970874,0.15474901543343697
18,female,0.146808407317529,0.1560038580685354,0.1800010158159931
18,male,0.14345719190136158,0.14112680713063944,0.15474901543343697
19,female,0.146808407317529,0.1572440712377305,0.1800010158159931
19,male,0.14345719190136158,0.1410842077064322,0.15474901543343697
20,female,0.1625584759329576,0.1625940648209353,0.16752106918442275
20,male,0.139760959472993,0.13795554260558876,0.14829464890372349
21,female,0.1625584759329576,0.16430015422956384,0.16752106918442275
21,male,0.139760959472993,0.13862003844865184,0.14829464890372349
22,female,0.1625584759329576,0.1660423725717943,0.16752106918442275
22,male,0.139760959472993,0.13928821763901356,0.14829464890372349
23,female,0.1625584759329576,0.1637334215450218,0.16752106918442275
23,male,0.139760959472993,0.11975062259852083,0.14829464890372349
24,female,0.1625584759329576,0.16148786994231748,0.16752106918442275
24,male,0.139760959472993,0.10509694220070756,0.14829464890372349
25,female,0.1912215622525612,0.19482874532878366,0.2069868082455614
25,male,0.25015295205745225,0.30924768529686536,0.31952692349559536
26,female,0.1912215622525612,0.19222821527248843,0.2069868082455614
