age,sex,i,prev,f
0,female,0.8800503384884448,0.8577666875678899,1.244260202360904
0,male,0.9034232422147193,1.9732471242762217,1.2627328871912407
1,female,0.9958075354432596,0.7478868741757168,1.4022206014732868
1,male,1.177526865104816,2.021063447487437,1.6221566739532278
2,female,0.9958075354432596,0.7512607842275838,1.4022206014732868
2,male,1.177526865104816,2.0418210979360234,1.6221566739532278
3,female,0.9958075354432596,0.9558352460596373,1.4022206014732868
3,male,1.177526865104816,2.585488260609649,1.6221566739532278
4,female,0.9958075354432596,1.221182248633333,1.4022206014732868
4,male,1.177526865104816,3.2068919321762457,1.6221566739532278
5,female,0.19844525924640183,0.04365040672524511,0.270357216229298
5,male,0.2902522401122475,0.10158465896018538,0.37169555255877623
6,female,0.19844525924640183,0.07241019958276688,0.270357216229298
6,male,0.2902522401122475,0.1500151685801699,0.37169555255877623
7,female,0.19844525924640183,0.2180907422867768,0.270357216229298
7,male,0.2902522401122475,0.2889947324181704,0.37169555255877623
8,female,0.19844525924640183,0.17764217325307854,0.270357216229298
8,male,0.2902522401122475,0.2296481144073441,0.37169555255877623
9,female,0.19844525924640183,0.14953399601326467,0.270357216229298
9,male,0.2902522401122475,0.19024486124469026,0.37169555255877623
10,female,0.2597526847192595,0.31758556124810555,0.356265048322331
10,male,0.35190969664761595,0.4381661684739522,0.4553836073766677
11,female,0.2597526847192595,0.2799182868825098,0.356265048322331
11,male,0.35190969664761595,0.38286951706344097,0.4553836073766677
12,female,0.2597526847192595,0.25013289026059726,0.356265048322331
12,male,0.35190969664761595,0.33992620471579066,0.4553836073766677
13,female,0.2597526847192595,0.11464972084653753,0.356265048322331
13,male,0.35190969664761595,0.16951326704513778,0.4553836073766677
14,female,0.2597526847192595,0.07426365805826123,0.356265048322331
14,male,0.35190969664761595,0.11287002167168388,0.4553836073766677
15,female,0.2996232208619583,0.4452240845918949,0.3951232938886851
15,male,0.3670388633251189,0.5342518667176162,0.46427510043250486
16,female,0.2996232208619583,0.3527049617164839,0.3951232938886851
16,male,0.3670388633251189,0.42708858032811287,0.46427510043250486
17,female,0.2996232208619583,0.2918211063386827,0.3951232938886851
