age,sex,i,prev,f
0,female,0.0,0.0,0.0
0,male,0.0,0.0,0.0
1,female,0.0,0.0,0.0
1,male,0.0,0.0,0.0
2,female,0.0,0.0,0.0
2,male,0.0,0.0,0.0
3,female,0.0,0.0,0.0
3,male,0.0,0.0,0.0
4,female,0.0,0.0,0.0
4,male,0.0,0.0,0.0
5,female,0.07948655413359981,0.13649077620706826,0.09926805933606866
5,male,0.08964986328101338,0.1521417258999096,0.11066426725244098
6,female,0.07948655413359981,0.10216892743503032,0.09926805933606866
6,male,0.08964986328101338,0.11392849380168978,0.11066426725244098
7,female,0.07948655413359981,0.08157612794608121,0.09926805933606866
7,male,0.08964986328101338,0.09100077580759708,0.11066426725244098
8,female,0.07948655413359981,0.08289681364263778,0.09926805933606866
8,male,0.08964986328101338,0.09268511530973408,0.11066426725244098
9,female,0.07948655413359981,0.08426670220864381,0.09926805933606866
9,male,0.08964986328101338,0.09443877774861532,0.11066426725244098
10,female,0.0927542341687106,0.09149726500320568,0.11259708091361556
10,male,0.10374170188031084,0.10016381445332134,0.12176893252798407
11,female,0.0927542341687106,0.09336987375068789,0.11259708091361556
11,male,0.10374170188031084,0.10248020002508555,0.12176893252798407
12,female,0.0927542341687106,0.09531601120951935,0.11259708091361556
12,male,0.10374170188031084,0.1048981404169836,0.12176893252798407
13,female,0.0927542341687106,0.09226383362611186,0.11259708091361556
13,male,0.10374170188031084,0.08156767857113918,0.12176893252798407
14,female,0.0927542341687106,0.08940797475495896,0.11259708091361556
14,male,0.10374170188031084,0.06676829418082834,0.12176893252798407
15,female,0.142975093799761,0.16041865891218268,0.18289603510144362
15,male,0.22408706092271113,0.2989004671430135,0.2943588823917232
16,female,0.142975093799761,0.155764946633141,0.18289603510144362
16,male,0.22408706092271113,0.25932557947157764,0.2943588823917232
17,female,0.142975093799761,0.15138428337220322,0.18289603510144362
17,male,0.22408706092271113,0.22909646219448762,0.2943588823917232
18,female,0.142975093799761,0.06361973747357941,0.18289603510144362
18,male,0.22408706092271113,0.14033053069286847,0.2943588823917232
19,female,0.142975093799761,0.040308316534773195,0.18289603510144362
19,male,0.22408706092271113,0.10123813384060364,0.2943588823917232
20,female,0.2470730761179196,0.39785831993775717,0.2985287062565534
20,male,0.27828680613409296,0.43853905453130676,0.34959703841564277
21,female,0.2470730761179196,0.31311121063452263,0.2985287062565534
