age,sex,n,s
0,male,1,1
1,male,1,1
2,male,1,1
3,male,1,1
4,male,1,1
5,male,1,1
6,male,1,1
7,male,1,1
8,male,1,1
9,male,1,1
10,male,1,1
11,male,1,1
12,male,1,1
13,male,1,1
14,male,1,1
15,male,1,1
16,male,1,1
17,male,1,1
18,male,1,1
19,male,1,1
20,male,1,0.76
21,male,1,0.76
22,male,1,0.76
23,male,1,0.76
24,male,1,0.76
25,male,1,0.76
26,male,1,0.76
27,male,1,0.76
28,male,1,0.76
29,male,1,0.76
30,male,1,0.76
31,male,1,0.76
32,male,1,0.76
33,male,1,0.76
34,male,1,0.76
35,male,1,0.76
36,male,1,0.76
37,male,1,0.76
38,male,1,0.76
39,male,1,0.76
40,male,1,0.76
41,male,1,0.76
42,male,1,0.76
43,male,1,0.76
44,male,1,0.76
45,male,1,0.76
46,male,1,0.76
47,male,1,0.76
48,male,1,0.76
49,male,1,0.76
50,male,1,0.76
51,male,1,0.76
52,male,1,0.76
53,male,1,0.76
54,male,1,0.76
55,male,1,0.76
56,male,1,0.76
57,male,1,0.76
58,male,1,0.76
59,male,1,0.76
60,male,1,0.76
61,male,1,0.76
62,male,1,0.76
63,male,1,0.76
64,male,1,0.76
65,male,1,0.76
66,male,1,0.76
67,male,1,0.76
68,male,1,0.76
69,male,1,0.76
70,male,1,0.76
71,male,1,0.76
72,male,1,0.76
73,male,1,0.76
74,male,1,0.76
75,male,1,0.76
76,male,1,0.76
77,male,1,0.76
78,male,1,0.76
79,male,1,0.76
80,male,1,0.76
81,male,1,0.76
82,male,1,0.76
83,male,1,0.76
84,male,1,0.76
85,male,1,0.76
86,male,1,0.76
87,male,1,0.76
88,male,1,0.76
89,male,1,0.76
90,male,1,0.76
91,male,1,0.76
92,male,1,0.76
93,male,1,0.76
94,male,1,0.76
95,male,1,0.76
96,male,1,0.76
97,male,1,0.76
98,male,1,0.76
99,male,1,0.76
100,male,1,0.76
101,male,1,0.76
102,male,1,0.76
103,male,1,0.76
104,male,1,0.76
105,male,1,0.76
106,male,1,0.76
107,male,1,0.76
108,male,1,0.76
109,male,1,0.76
0,female,1,1
1,female,1,1
2,female,1,1
3,female,1,1
4,female,1,1
5,female,1,1
6,female,1,1
7,female,1,1
8,female,1,1
9,female,1,1
10,female,1,1
11,female,1,1
12,female,1,1
13,female,1,1
14,female,1,1
15,female,1,1
16,female,1,1
17,female,1,1
18,female,1,1
19,female,1,1
20,female,1,0.76
21,female,1,0.76
22,female,1,0.76
23,female,1,0.76
24,female,1,0.76
25,female,1,0.76
26,female,1,0.76
27,female,1,0.76
28,female,1,0.76
29,female,1,0.76
30,female,1,0.76
31,female,1,0.76
32,female,1,0.76
33,female,1,0.76
34,female,1,0.76
35,female,1,0.76
36,female,1,0.76
37,female,1,0.76
38,female,1,0.76
39,female,1,0.76
40,female,1,0.76
41,female,1,0.76
42,female,1,0.76
43,female,1,0.76
44,female,1,0.76
45,female,1,0.76
46,female,1,0.76
47,female,1,0.76
48,female,1,0.76
49,female,1,0.76
50,female,1,0.76
51,female,1,0.76
52,female,1,0.76
53,female,1,0.76
54,female,1,0.76
55,female,1,0.76
56,female,1,0.76
57,female,1,0.76
58,female,1,0.76
59,female,1,0.76
60,female,1,0.76
61,female,1,0.76
62,female,1,0.76
63,female,1,0.76
64,female,1,0.76
65,female,1,0.76
66,female,1,0.76
67,female,1,0.76
68,female,1,0.76
69,female,1,0.76
70,female,1,0.76
71,female,1,0.76
72,female,1,0.76
73,female,1,0.76
74,female,1,0.76
75,female,1,0.76
76,female,1,0.76
77,female,1,0.76
78,female,1,0.76
79,female,1,0.76
80,female,1,0.76
81,female,1,0.76
82,female,1,0.76
83,female,1,0.76
84,female,1,0.76
85,female,1,0.76
86,female,1,0.76
87,female,1,0.76
88,female,1,0.76
89,female,1,0.76
90,female,1,0.76
91,female,1,0.76
92,female,1,0.76
93,female,1,0.76
94,female,1,0.76
95,female,1,0.76
96,female,1,0.76
97,female,1,0.76
98,female,1,0.76
99,female,1,0.76
100,female,1,0.76
101,female,1,0.76
102,female,1,0.76
103,female,1,0.76
104,female,1,0.76
105,female,1,0.76
106,female,1,0.76
107,female,1,0.76
108,female,1,0.76
109,female,1,0.76
