age,sex,n,s
0,male,1,1
1,male,1,1
2,male,1,1
3,male,1,1
4,male,1,1
5,male,1,1
6,male,1,1
7,male,1,1
8,male,1,1
9,male,1,1
10,male,1,1
11,male,1,1
12,male,1,1
13,male,1,1
14,male,1,1
15,male,1,1
16,male,1,1
17,male,1,1
18,male,1,1
19,male,1,1
20,male,1,2.14
21,male,1,2.14
22,male,1,2.14
23,male,1,2.14
24,male,1,2.14
25,male,1,2.14
26,male,1,2.14
27,male,1,2.14
28,male,1,2.14
29,male,1,2.14
30,male,1,2.14
31,male,1,2.14
32,male,1,2.14
33,male,1,2.14
34,male,1,2.14
35,male,1,2.14
36,male,1,2.14
37,male,1,2.14
38,male,1,2.14
39,male,1,2.14
40,male,1,2.14
41,male,1,2.14
42,male,1,2.14
43,male,1,2.14
44,male,1,2.14
45,male,1,2.14
46,male,1,2.14
47,male,1,2.14
48,male,1,2.14
49,male,1,2.14
50,male,1,2.14
51,male,1,2.14
52,male,1,2.14
53,male,1,2.14
54,male,1,2.14
55,male,1,2.14
56,male,1,2.14
57,male,1,2.14
58,male,1,2.14
59,male,1,2.14
60,male,1,2.14
61,male,1,2.14
62,male,1,2.14
63,male,1,2.14
64,male,1,2.14
65,male,1,2.14
66,male,1,2.14
67,male,1,2.14
68,male,1,2.14
69,male,1,2.14
70,male,1,2.14
71,male,1,2.14
72,male,1,2.14
73,male,1,2.14
74,male,1,2.14
75,male,1,2.14
76,male,1,2.14
77,male,1,2.14
78,male,1,2.14
79,male,1,2.14
80,male,1,2.14
81,male,1,2.14
82,male,1,2.14
83,male,1,2.14
84,male,1,2.14
85,male,1,2.14
86,male,1,2.14
87,male,1,2.14
88,male,1,2.14
89,male,1,2.14
90,male,1,2.14
91,male,1,2.14
92,male,1,2.14
93,male,1,2.14
94,male,1,2.14
95,male,1,2.14
96,male,1,2.14
97,male,1,2.14
98,male,1,2.14
99,male,1,2.14
100,male,1,2.14
101,male,1,2.14
102,male,1,2.14
103,male,1,2.14
104,male,1,2.14
105,male,1,2.14
106,male,1,2.14
107,male,1,2.14
108,male,1,2.14
109,male,1,2.14
0,female,1,1
1,female,1,1
2,female,1,1
3,female,1,1
4,female,1,1
5,female,1,1
6,female,1,1
7,female,1,1
8,female,1,1
9,female,1,1
10,female,1,1
11,female,1,1
12,female,1,1
13,female,1,1
14,female,1,1
15,female,1,1
16,female,1,1
17,female,1,1
18,female,1,1
19,female,1,1
20,female,1,2.14
21,female,1,2.14
22,female,1,2.14
23,female,1,2.14
24,female,1,2.14
25,female,1,2.14
26,female,1,2.14
27,female,1,2.14
28,female,1,2.14
29,female,1,2.14
30,female,1,2.14
31,female,1,2.14
32,female,1,2.14
33,female,1,2.14
34,female,1,2.14
35,female,1,2.14
36,female,1,2.14
37,female,1,2.14
38,female,1,2.14
39,female,1,2.14
40,female,1,2.14
41,female,1,2.14
42,female,1,2.14
43,female,1,2.14
44,female,1,2.14
45,female,1,2.14
46,female,1,2.14
47,female,1,2.14
48,female,1,2.14
49,female,1,2.14
50,female,1,2.14
51,female,1,2.14
52,female,1,2.14
53,female,1,2.14
54,female,1,2.14
55,female,1,2.14
56,female,1,2.14
57,female,1,2.14
58,female,1,2.14
59,female,1,2.14
60,female,1,2.14
61,female,1,2.14
62,female,1,2.14
63,female,1,2.14
64,female,1,2.14
65,female,1,2.14
66,female,1,2.14
67,female,1,2.14
68,female,1,2.14
69,female,1,2.14
70,female,1,2.14
71,female,1,2.14
72,female,1,2.14
73,female,1,2.14
74,female,1,2.14
75,female,1,2.14
76,female,1,2.14
77,female,1,2.14
78,female,1,2.14
79,female,1,2.14
80,female,1,2.14
81,female,1,2.14
82,female,1,2.14
83,female,1,2.14
84,female,1,2.14
85,female,1,2.14
86,female,1,2.14
87,female,1,2.14
88,female,1,2.14
89,female,1,2.14
90,female,1,2.14
91,female,1,2.14
92,female,1,2.14
93,female,1,2.14
94,female,1,2.14
95,female,1,2.14
96,female,1,2.14
97,female,1,2.14
98,female,1,2.14
99,female,1,2.14
100,female,1,2.14
101,female,1,2.14
102,female,1,2.14
103,female,1,2.14
104,female,1,2.14
105,female,1,2.14
106,female,1,2.14
107,female,1,2.14
108,female,1,2.14
109,female,1,2.14
