age,sex,prev,disability_rate,i,i_apc,f,f_apc,r,r_apc,income_first,income,income_last,expenditure_rate_first,expenditure_rate,expenditure_rate_last
0,female,0.0,0.0,0.0,0.024192769553743696,0.0,0.08485660710738552,0.0,-0.07257838123961233,0.0,0.0,0.0,0.0,0.0,0.0
0,male,0.0,0.0,0.0,0.024192638098550916,0.0,0.08694573581086604,0.0,0.12742201312636037,0.0,0.0,0.0,0.0,0.0,0.0
1,female,0.0,0.0,0.0,0.023077398723854323,0.0,0.07838193071514162,0.0,-0.06923226540382837,0.0,0.0,0.0,0.0,0.0,0.0
1,male,0.0,0.0,0.0,0.02312999969335214,0.0,0.08026876550073049,0.0,0.1306099315298751,0.0,0.0,0.0,0.0,0.0,0.0
2,female,0.0,0.0,0.0,0.02196202789396495,0.0,0.07190823604815423,0.0,-0.06588614956804442,0.0,0.0,0.0,0.0,0.0,0.0
2,male,0.0,0.0,0.0,0.022067361288153325,0.0,0.0735925139235338,0.0,0.13379784993338997,0.0,0.0,0.0,0.0,0.0,0.0
3,female,0.0,0.0,0.0,0.020846657064075565,0.0,0.06543552409101477,0.0,-0.06254003373226043,0.0,0.0,0.0,0.0,0.0,0.0
3,male,0.0,0.0,0.0,0.02100472288295455,0.0,0.06691698169538719,0.0,0.13698576833690468,0.0,0.0,0.0,0.0,0.0,0.0
4,female,0.0,0.0,0.0,0.023685204550003013,0.0,0.05896379582933753,0.0,-0.05919391789647648,0.0,0.0,0.0,0.0,0.0,0.0
4,male,0.0,0.0,0.0,0.019942084477755757,0.0,0.060242169432944914,0.0,0.14017368674041947,0.0,0.0,0.0,0.0,0.0,0.0
5,female,0.0,0.0,0.0,0.021744869373564648,0.0,0.05249305224967635,0.0,-0.055847802060692536,0.0,0.0,0.0,0.0,0.0,0.0
5,male,0.0,0.0,0.0,-0.015532358716401264,0.0,0.053568077753361254,0.0,0.14336160514393428,0.0,0.0,0.0,0.0,0.0,0.0
6,female,0.0,0.0,0.0,0.01980521208299016,0.0,0.04602329433962307,0.0,-0.05250168622490856,0.0,0.0,0.0,0.0,0.0,0.0
6,male,0.0,0.0,0.0,-0.014210655613775311,0.0,0.046894707274347525,0.0,0.14654952354744905,0.0,0.0,0.0,0.0,0.0,0.0
7,female,0.0,0.0,0.0,0.017866232121264893,0.0,0.03955452308773225,0.0,-0.04915557038912457,0.0,0.0,0.0,0.0,0.0,0.0
