age,sex,incidence,incidence_apc,disability_rate,excess_mortality,excess_mortality_apc,income,income_death,expenditure_rate,expenditure_rate_death
0,female,0.05442716042419393,-0.021150892661089493,0.001774763703359534,0.0006875874301412895,-0.02884910733891051,0.0,0.0,0.0,0.0
0,male,0.06822314929665783,-0.02550512961066287,0.0018760735976225845,0.0005673642301131044,-0.024494870389337134,0.0,0.0,0.0,0.0
1,female,0.056240751512302956,-0.019691093091822487,0.001676160385622977,0.0005198184419946632,-0.030308906908177516,0.0,0.0,0.0,0.0
1,male,0.0694259647595611,-0.023679059126365476,0.0017625684412169277,0.00043515543662629654,-0.026320940873634527,0.0,0.0,0.0,0.0
2,female,0.05740226106833142,-0.018229113487220228,0.0016197293193681937,0.00042380359074092915,-0.031770886512779775,0.0,0.0,0.0,0.0
2,male,0.07025666635797553,-0.021849563125695082,0.0016959394469360915,0.00035754716556567233,-0.02815043687430492,0.0,0.0,0.0,0.0
3,female,0.053247397611889874,-0.016764950072756357,0.001424557927435686,6.920664848625493e-05,-0.033235049927243646,0.0,0.0,0.0,0.0
3,male,0.06254692040225777,-0.02001663462572323,0.001449597783272057,5.7987268092487174e-05,-0.029983365374276774,0.0,0.0,0.0,0.0
4,female,0.045068913769496184,-0.015298599093207299,0.001441383407222394,6.697983082493624e-05,-0.034701400906792704,0.0,0.0,0.0,0.0
4,male,0.052480127162204265,-0.01818026671974904,0.0014631030759468624,5.613593286527462e-05,-0.031819733280250964,0.0,0.0,0.0,0.0
5,female,0.036841131408341665,-0.013830056903586851,0.0014658470826103619,6.374211367777166e-05,-0.03616994309641315,0.0,0.0,0.0,0.0
5,male,0.04233692777950195,-0.016340452718930143,0.0014832052397311792,5.338028403535125e-05,-0.03365954728106986,0.0,0.0,0.0,0.0
6,female,0.028563828875877446,-0.012359320124714412,0.001504677423373763,5.8602997901989976e-05,-0.03764067987528559,0.0,0.0,0.0,0.0
6,male,0.032116890346136365,-0.014497186385874716,0.0015162997852004418,4.8843610944946326e-05,-0.035502813614125286,0.0,0.0,0.0,0.0
7,female,0.020236783606025693,-0.010886385898405515,0.0015757908340877217,4.919128418315993e-05,-0.03911361410159449,0.0,0.0,0.0,0.0
7,male,0.021819580769656795,-0.012650462308639754,0.0015809964048664107,3.997485600914099e-05,-0.03734953769136025,0.0,0.0,0.0,0.0
8,female,0.018304498310612663,-0.00941125229519768,0.0015601955779429048,5.37632173498861e-05,-0.04058874770480232,0.0,0.0,0.0,0.0
8,male,0.019593470490939083,-0.01080027648682369,0.0015646175681594751,4.6200650655272314e-05,-0.03919972351317631,0.0,0.0,0.0,0.0
9,female,0.016360497099048802,-0.007933918952779173,0.0015407900104217984,5.94521882103216e-05,-0.04206608104722083,0.0,0.0,0.0,0.0
9,male,0.01735035144628432,-0.008946627234729387,0.0015438649252932789,5.4088982113802055e-05,-0.041053372765270615,0.0,0.0,0.0,0.0
10,female,0.014404727089040451,-0.006454388060027627,0.0015159833682392575,6.67245477725056e-05,-0.043025888743378315,0.0,0.0,0.0,0.0
10,male,0.015090127144901091,-0.007089516555690789,0.0015167165339989423,6.440841518439314e-05,-0.042910483444309214,0.0,0.0,0.0,0.0
11,female,0.012390384357432355,-0.006844565508622891,0.001483156236120429,7.634820850041582e-05,-0.0430147237270162,0.0,0.0,0.0,0.0
11,male,0.012751587244107748,-0.007604192502588036,0.0014796771390469595,7.848753880678999e-05,-0.042395807497411966,0.0,0.0,0.0,0.0
12,female,0.01037919639585326,-0.007234587509582502,0.0014376687532647924,8.968340027972449e-05,-0.0427654124904175,0.0,0.0,0.0,0.0
12,male,0.010417878671513267,-0.008118598884889083,0.001426137333573362,9.883866875799671e-05,-0.04188140111511092,0.0,0.0,0.0,0.0
13,female,0.01040543625155278,-0.007624454088245414,0.001431091171887083,9.050593776506104e-05,-0.04237554591175459,0.0,0.0,0.0,0.0
13,male,0.010253452923063417,-0.008632735669892422,0.0014249808910482106,0.00011104078625892024,-0.04136726433010758,0.0,0.0,0.0,0.0
14,female,0.010431628543757576,-0.008014165330677003,0.0014245569254380502,9.132305614553002e-05,-0.041985834669323,0.0,0.0,0.0,0.0
14,male,0.010089356873760827,-0.009146602959479888,0.0014237892672271364,0.0001236141165934699,-0.040853397040520115,0.0,0.0,0.0,0.0
15,female,0.010457773330005325,-0.008403721366396777,0.001418065587070013,9.213480879914353e-05,-0.041596278633603226,0.0,0.0,0.0,0.0
15,male,0.009925590012893741,-0.009660200950056264,0.0014225608318846358,0.00013657586096508368,-0.04033979904994374,0.0,0.0,0.0,0.0
16,female,0.01048387066712295,-0.00879312235470564,0.0014116167355228589,9.294124840517878e-05,-0.04120687764529436,0.0,0.0,0.0,0.0
16,male,0.009762151829258906,-0.010173529902241962,0.001421293852493541,0.0001499443000056372,-0.03982647009775804,0.0,0.0,0.0,0.0
17,female,0.01050992061143928,-0.009182368474238145,0.001405209955032915,9.374242695557433e-05,-0.04081763152576186,0.0,0.0,0.0,0.0
17,male,0.009599041811709225,-0.010686590117887085,0.0014199864860724365,0.00016373887979678894,-0.03931340988211292,0.0,0.0,0.0,0.0
18,female,0.010720367995275685,-0.009571459914894609,0.0014006132242262157,0.00010324687102885055,-0.040428540085105394,0.0,0.0,0.0,0.0
18,male,0.009695439674189996,-0.01119938192285852,0.0014108898874060259,0.0001654540715953578,-0.03880061807714148,0.0,0.0,0.0,0.0
19,female,0.010930478432356998,-0.00996039687171979,0.0013962002944385417,0.00011237127838050783,-0.04003960312828021,0.0,0.0,0.0,0.0
19,male,0.009791627459155862,-0.011711905654662513,0.0014019906791175448,0.00016713204482798164,-0.03828809434533749,0.0,0.0,0.0,0.0
20,female,0.011140252321279378,-0.010349179540635856,0.001391960357777681,0.00012113799598090593,-0.03965082045936415,0.0,0.0,0.0,0.0
20,male,0.009887605495953614,-0.012224161653289989,0.001393282505298975,0.00016877399792076514,-0.037775838346710014,0.0,0.0,0.0,0.0
