age,sex,prev,disability_rate,i,i_apc,f,f_apc,r,r_apc,income_first,income,income_last,expenditure_rate_first,expenditure_rate,expenditure_rate_last
0,female,3.354847997736922e-06,0.092248475913073,0.0,0.01910857151800289,0.0,-0.0032547521247006245,0.01766830533505748,-0.08207319676246197,0.0,0.0,0.0,245235.6336645093,77852.58211170394,251463.84016152727
0,male,4.334254792951403e-06,0.09280125759917104,0.0,0.01678090263949137,0.0,-0.003341156335247838,0.041397432990964295,-0.04550596759793236,0.0,0.0,0.0,320579.69869209663,101771.33291411262,328721.40533196804
1,female,3.147863093252163e-06,0.09219577940754353,1.0917583699867973e-06,0.01763719894144234,0.2731624655634413,-0.006790176058587453,0.02125115646050364,-0.07767455163236373,0.0,0.0,0.0,239839.30048026817,76139.46046557867,245930.45724334862
1,male,4.020039476743796e-06,0.09251742279673941,1.4048899955239385e-06,0.01557449564583525,0.32590959817278065,-0.006486020241064098,0.04247130059567911,-0.04638724692910105,0.0,0.0,0.0,323896.37564105075,102824.24623291312,332122.3153548541
2,female,3.0322229894312328e-06,0.09216019260098228,1.0202428920628161e-06,0.016166173338141014,0.2611800350601851,-0.010320837745578489,0.025572251216147993,-0.0732726818897583,0.0,0.0,0.0,236601.5005697235,75111.58747790351,242610.42749244146
2,male,3.84215462363428e-06,0.09232190949592153,1.2986636544520166e-06,0.014368146496565686,0.3207805810936966,-0.00962787815036133,0.04358903104377658,-0.04725415733169881,0.0,0.0,0.0,325886.3818104232,103455.99422419343,334162.8613685858
3,female,3.394113979666695e-06,0.09598691952715575,1.0644829325903403e-06,0.014695494504329921,0.20091763067688498,-0.013846747686484803,0.030786772001093685,-0.06886758161635614,0.0,0.0,0.0,197183.25366204415,62597.85829936412,202191.08226086214
3,male,3.5519840019073048e-06,0.09487715048013974,1.1743034423454157e-06,0.013161855177797659,0.2759916162452237,-0.01276673533430047,0.04475318315200924,-0.048106753461476956,0.0,0.0,0.0,270463.008671013,85861.27259576503,277331.91051049816
4,female,4.342820102476308e-06,0.09829907095973345,1.2850838123948824e-06,0.01322516223635373,0.14907766028337016,-0.017367916358977217,0.037083347292453675,-0.06445924488300575,0.0,0.0,0.0,170716.2063965435,54195.62107152542,175051.8560329115
4,male,4.124728993293095e-06,0.09754407512007196,1.2338681098845446e-06,0.011955621675646018,0.21966207349101308,-0.015902597054812534,0.04596651570760942,-0.04894508976640119,0.0,0.0,0.0,207079.61085411295,65739.55900221538,212338.77559748388
