age,sex,prev,disability_rate,i,i_apc,f,f_apc,r,r_apc,income_first,income,income_last,expenditure_rate_first,expenditure_rate,expenditure_rate_last
0,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004996321465138065,0.0,0.0,0.0,0.0,0.0,0.0
0,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026488560628406876,0.0,0.0,0.0,0.0,0.0,0.0
1,female,0.0,0.0,0.0,0.0016128589146588647,0.0,0.0011483847705517727,0.0,-0.004838581582558177,0.0,0.0,0.0,0.0,0.0,0.0
1,male,0.0,0.0,0.0,0.0008808016674685012,0.0,0.00025606244387655686,0.0,-0.0026424076448131485,0.0,0.0,0.0,0.0,0.0,0.0
2,female,0.0,0.0,0.0,0.0032257178293177294,0.0,0.0022967695411035454,0.0,-0.009677163165116354,0.0,0.0,0.0,0.0,0.0,0.0
2,male,0.0,0.0,0.0,0.0017616033349370024,0.0,0.0005121248877531137,0.0,-0.005284815289626297,0.0,0.0,0.0,0.0,0.0,0.0
3,female,0.0,0.0,0.0,0.004838576743976593,0.0,0.0034451543116553163,0.0,-0.014515744747674525,0.0,0.0,0.0,0.0,0.0,0.0
3,male,0.0,0.0,0.0,0.002642405002405503,0.0,0.0007681873316296721,0.0,-0.007927222934439444,0.0,0.0,0.0,0.0,0.0,0.0
4,female,0.0,0.0,0.0,0.006451435658635462,0.0,0.004593539082207088,0.0,-0.019354326330232718,0.0,0.0,0.0,0.0,0.0,0.0
4,male,0.0,0.0,0.0,0.003523206669874005,0.0,0.0010242497755062294,0.0,-0.010569630579252594,0.0,0.0,0.0,0.0,0.0,0.0
5,female,0.0,0.0,0.0,0.008064294573294321,0.0,0.005741923852758863,0.0,-0.024192907912790877,0.0,0.0,0.0,0.0,0.0,0.0
5,male,0.0,0.0,0.0,0.004404008337342507,0.0,0.0012803122193827835,0.0,-0.013212038224065747,0.0,0.0,0.0,0.0,0.0,0.0
6,female,0.0,0.0,0.0,0.009677153487953189,0.0,0.006890308623310637,0.0,-0.02903148949534906,0.0,0.0,0.0,0.0,0.0,0.0
6,male,0.0,0.0,0.0,0.0052848100048110075,0.0,0.0015363746632593436,0.0,-0.01585444586887889,0.0,0.0,0.0,0.0,0.0,0.0
7,female,0.0,0.0,0.0,0.01129001240261204,0.0,0.008038693393862411,0.0,-0.033870071077907196,0.0,0.0,0.0,0.0,0.0,0.0
7,male,0.0,0.0,0.0,0.006165611672279512,0.0,0.001792437107135898,0.0,-0.01849685351369205,0.0,0.0,0.0,0.0,0.0,0.0
8,female,0.0,0.0,0.0,0.012902871317270923,0.0,-0.007729254485505805,0.0,-0.03870865266046543,0.0,0.0,0.0,0.0,0.0,0.0
8,male,0.0,0.0,0.0,0.00704641333974801,0.0,-0.008439047031241242,0.0,-0.021139261158505188,0.0,0.0,0.0,0.0,0.0,0.0
9,female,0.0,0.0,0.0,0.014515730231929775,0.0,-0.01178535233140925,0.0,-0.04354723424302357,0.0,0.0,0.0,0.0,0.0,0.0
9,male,0.0,0.0,0.0,0.007927215007216519,0.0,-0.013964128832194245,0.0,-0.023781668803318362,0.0,0.0,0.0,0.0,0.0,0.0
10,female,0.0,0.0,0.0,0.016128589146588643,0.0,-0.01581389744686775,0.0,-0.048385815825581754,0.0,0.0,0.0,0.0,0.0,0.0
10,male,0.0,0.0,0.0,0.008808016674685015,0.0,-0.019455434778546745,0.0,-0.026424076448131495,0.0,0.0,0.0,0.0,0.0,0.0
11,female,0.0,0.0,0.0,0.017741448061247497,0.0,-0.013667336518346366,0.0,-0.053224397408139903,0.0,0.0,0.0,0.0,0.0,0.0
11,male,0.0,0.0,0.0,0.009688818342153517,0.0,-0.018206164607528667,0.0,-0.029066484092944645,0.0,0.0,0.0,0.0,0.0,0.0
