age,sex,prev,disability_rate,i,i_apc,f,f_apc,r,r_apc,income_first,income,income_last,expenditure_rate_first,expenditure_rate,expenditure_rate_last
0,female,0.0,0.0,0.0,0.02419262848665329,0.0,0.10886683671254774,0.0,-0.07257795803791792,0.0,0.0,0.0,0.0,0.0,0.0
0,male,0.0,0.0,0.0,0.02419263060219645,0.0,0.10886683861445066,0.0,-0.07257796438455373,0.0,0.0,0.0,0.0,0.0,0.0
1,female,0.0,0.0,0.0,0.02395583020168291,0.0,0.10166899308840767,0.0,-0.07186756247261121,0.0,0.0,0.0,0.0,0.0,0.0
1,male,0.0,0.0,0.0,0.023400475387552674,0.0,0.10153346006975884,0.0,-0.07020149636415439,0.0,0.0,0.0,0.0,0.0,0.0
2,female,0.0,0.0,0.0,0.0237190319167125,0.0,0.09447114946426757,0.0,-0.0711571669073044,0.0,0.0,0.0,0.0,0.0,0.0
2,male,0.0,0.0,0.0,0.022608320172908942,0.0,0.09420008152506697,0.0,-0.06782502834375517,0.0,0.0,0.0,0.0,0.0,0.0
3,female,0.0,0.0,0.0,0.023482233631742094,0.0,0.08727330584012742,0.0,-0.07044677134199763,0.0,0.0,0.0,0.0,0.0,0.0
3,male,0.0,0.0,0.0,0.02181616495826516,0.0,0.08686670298037509,0.0,-0.0654485603233558,0.0,0.0,0.0,0.0,0.0,0.0
4,female,0.0,0.0,0.0,0.02324543534677171,0.0,0.08007546221598745,0.0,-0.06973637577669091,0.0,0.0,0.0,0.0,0.0,0.0
4,male,0.0,0.0,0.0,0.021024009743621407,0.0,0.07953332443568331,0.0,-0.06307209230295653,0.0,0.0,0.0,0.0,0.0,0.0
5,female,0.0,0.0,0.0,0.023008637061801316,0.0,0.07287761859184737,0.0,-0.06902598021138416,0.0,0.0,0.0,0.0,0.0,0.0
5,male,0.0,0.0,0.0,0.02023185452897765,0.0,0.07219994589099153,0.0,-0.06069562428255724,0.0,0.0,0.0,0.0,0.0,0.0
6,female,0.0,0.0,0.0,0.02277183877683091,0.0,0.06567977496770736,0.0,-0.06831558464607738,0.0,0.0,0.0,0.0,0.0,0.0
6,male,0.0,0.0,0.0,0.01943969931433387,0.0,0.06486656734629957,0.0,-0.058319156262157876,0.0,0.0,0.0,0.0,0.0,0.0
7,female,0.0,0.0,0.0,0.02253504049186053,0.0,0.058481931343567224,0.0,-0.06760518908077068,0.0,0.0,0.0,0.0,0.0,0.0
7,male,0.0,0.0,0.0,0.01864754409969013,0.0,0.05753318880160778,0.0,-0.05594268824175863,0.0,0.0,0.0,0.0,0.0,0.0
8,female,0.0,0.0,0.0,0.022298242206890147,0.0,0.04543989905855434,0.0,-0.06689479351546396,0.0,0.0,0.0,0.0,0.0,0.0
8,male,0.0,0.0,0.0,0.017855388885046362,0.0,0.029990533489916156,0.0,-0.05356622022135931,0.0,0.0,0.0,0.0,0.0,0.0
9,female,0.0,0.0,0.0,0.010089847871178673,0.0,0.03456524104815404,0.0,-0.06618439795015713,0.0,0.0,0.0,0.0,0.0,0.0
9,male,0.0,0.0,0.0,0.0030686938081010244,0.0,0.024910447211294158,0.0,-0.051189752200960045,0.0,0.0,0.0,0.0,0.0,0.0
10,female,0.0,0.0,0.0,-0.011086681611199033,0.0,0.023704181473623492,0.0,-0.06547400238485043,0.0,0.0,0.0,0.0,0.0,0.0
10,male,0.0,0.0,0.0,-0.006696463688700666,0.0,0.019835542984278635,0.0,-0.048813284180560704,0.0,0.0,0.0,0.0,0.0,0.0
11,female,0.0,0.0,0.0,-0.009976355207799152,0.0,0.01631483059647357,0.0,-0.06476360681954366,0.0,0.0,0.0,0.0,0.0,0.0
11,male,0.0,0.0,0.0,-0.007719031961414985,0.0,0.012348854684123674,0.0,-0.046436816160161494,0.0,0.0,0.0,0.0,0.0,0.0
12,female,0.0,0.0,0.0,-0.00886415230109874,0.0,0.008925516884329347,0.0,-0.2640532112542369,0.0,0.0,0.0,0.0,0.0,0.0
12,male,0.0,0.0,0.0,-0.008741545895715486,0.0,0.00486219026279806,0.0,-0.2440603481397621,0.0,0.0,0.0,0.0,0.0,0.0
13,female,7.049679535270615e-07,0.08970249012984924,1.405130625670776e-07,-0.007750070277407664,0.07122933009306454,0.0015362403300623606,1.681573981513041e-08,-0.26334281568893014,0.0,0.0,0.0,21753.062679797385,6905.7341834740455,22305.521416363168
13,male,7.539639889713118e-07,0.09603974773148524,1.536512220662609e-07,-0.009764005504638202,0.0731786849550409,-0.0026244502835849857,5.02629521569552e-09,-0.24168388011936282,0.0,0.0,0.0,15734.24678646858,4994.9989793497,16133.846705625641
14,female,1.40857313035835e-06,0.08970249012984924,3.4997859443045187e-07,-0.006634106518952344,0.10073719979549048,-0.005852999073636438,1.0267069622261781e-07,-0.26263242012362337,0.0,0.0,0.0,43506.12535959477,13811.468366948091,44611.042832726336
14,male,1.50546493240566e-06,0.09603974773148524,3.826953830995336e-07,-0.010786410800995027,0.10237743360162391,-0.010111066958856147,3.621716095708417e-08,-0.23930741209896353,0.0,0.0,0.0,31468.49357293716,9989.9979586994,32267.693411251283
15,female,2.110817511807606e-06,0.08970249012984924,5.603874266454503e-07,-0.005516258404700394,0.0948776739677291,-0.013242201333976427,6.268681848306547e-07,-0.26192202455831665,0.0,0.0,0.0,65259.18803939216,20717.20255042214,66916.56424908951
