age,sex,prev,disability_rate,i,i_apc,f,f_apc,r,r_apc,income_first,income,income_last,expenditure_rate_first,expenditure_rate,expenditure_rate_last
0,female,0.0,0.0,0.0,0.024192674196879572,0.0,0.11073528830036825,0.0,0.12742190483126614,0.0,0.0,0.0,0.0,0.0,0.0
0,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,female,0.0,0.0,0.0,0.024194803909131053,0.0,0.10758764938917534,0.0,0.12741551568812254,0.0,0.0,0.0,0.0,0.0,0.0
1,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,female,0.0,0.0,0.0,0.024196933621382487,0.0,0.10444036190427906,0.0,-0.07259087345502092,0.0,0.0,0.0,0.0,0.0,0.0
2,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,female,0.0,0.0,0.0,0.02419906333363397,0.0,0.10129342563754273,0.0,-0.07259726259816451,0.0,0.0,0.0,0.0,0.0,0.0
3,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,female,0.0,0.0,0.0,0.02420119304588547,0.0,0.0981468403809579,0.0,-0.07260365174130815,0.0,0.0,0.0,0.0,0.0,0.0
4,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,female,0.0,0.0,0.0,0.024203322758136928,0.0,0.09500060592663132,0.0,-0.07261004088445167,0.0,0.0,0.0,0.0,0.0,0.0
5,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,female,0.0,0.0,0.0,0.02420545247038839,0.0,0.09185472206679807,0.0,-0.0726164300275952,0.0,0.0,0.0,0.0,0.0,0.0
