age,sex,incidence,incidence_apc,disability_rate,excess_mortality,excess_mortality_apc,income,income_death,expenditure_rate,expenditure_rate_death
0,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,male,0.0,0.006608871877360256,0.0,0.0,-0.006608871877360256,0.0,0.0,0.0,0.0
16,female,0.0,0.002038872960808291,0.0,0.0,-0.010772365328360567,0.0,0.0,0.0,0.0
16,male,0.0,0.008843583367235786,0.0,0.0,-0.0169470022627507,0.0,0.0,0.0,0.0
17,female,0.0,0.002664821979025511,0.0,0.0,-0.01050795722374942,0.0,0.0,0.0,0.0
17,male,0.0,0.011083255967039518,0.0,0.0,-0.01725222652247116,0.0,0.0,0.0,0.0
18,female,4.555531932259138e-08,0.003291162005261361,0.3074495585076343,0.426426506824972,-0.010243140407029339,0.0,0.0,0.0,0.0
18,male,1.3374707983766332e-07,0.013327900628635758,0.4678023084181972,0.15399893995733524,-0.01755865018213021,0.0,0.0,0.0,0.0
19,female,9.122450334074139e-08,0.00391789327547909,0.3074495585076343,0.426426506824972,-0.00997791439583895,0.0,0.0,0.0,0.0
19,male,2.6868317304940025e-07,0.015577528231518256,0.4678023084181972,0.15399893995733524,-0.017866276763665256,0.0,0.0,0.0,0.0
20,female,1.3700776549752452e-07,0.004545016016345826,0.30744955850763434,0.4264265068249721,-0.009712278697862953,0.0,0.0,0.0,0.0
20,male,4.048162068698765e-07,0.017832149436688205,0.46780230841819714,0.15399893995733524,-0.018175109555987667,0.0,0.0,0.0,0.0
