age,sex,prev,disability_rate,i,i_apc,f,f_apc,r,r_apc,income_first,income,income_last,expenditure_rate_first,expenditure_rate,expenditure_rate_last
0,female,0.0,0.0,0.0,0.008871765936101235,0.0,0.013614676116940491,0.0,-0.09992473733631468,0.0,0.0,0.0,0.0,0.0,0.0
0,male,0.0,0.0,0.0,0.027725018077236124,0.0,0.010139556917249447,0.0,-0.04597938363676936,0.0,0.0,0.0,0.0,0.0,0.0
1,female,0.0,0.0,0.0,0.00930652204418226,0.0,0.011299409197819882,0.0,-0.09811074479435018,0.0,0.0,0.0,0.0,0.0,0.0
1,male,0.0,0.0,0.0,0.026701241075010533,0.0,0.007984842270956017,0.0,-0.04666918051790893,0.0,0.0,0.0,0.0,0.0,0.0
2,female,0.0,0.0,0.0,0.009741626235072152,0.0,0.008984145324079672,0.0,-0.09629484529758715,0.0,0.0,0.0,0.0,0.0,0.0
2,male,0.0,0.0,0.0,0.025678379712663128,0.0,0.005830128260381581,0.0,-0.047358213793417245,0.0,0.0,0.0,0.0,0.0,0.0
3,female,1.3738792227326127e-06,0.13345819660804611,1.801824076898932e-07,0.010177078715729579,0.029086395650720367,0.006668884495903589,0.0005097666494470907,-0.09447703617591689,0.0,0.0,0.0,1329.2854510008547,351.66281765196254,921.3565825110933
3,male,2.308192008426304e-06,0.13578470166956036,2.827788298192126e-07,0.024656433115625674,0.024879825757376035,0.003675414885552203,0.0023856635252937153,-0.0480464841218636,0.0,0.0,0.0,572.7713366803373,151.52680860973967,397.00023867820596
4,female,2.7567552339622694e-06,0.13345819660804611,4.4967573562534444e-07,0.010612879693233823,0.042346112404245455,0.004353626713454153,0.0009152672791187056,-0.09265731475549792,0.0,0.0,0.0,2658.5709020017093,703.3256353039251,1842.7131650221866
4,male,4.622496561142346e-06,0.13578470166956036,7.095489211094546e-07,0.023635400410079648,0.03583796728493111,0.0015207021464167525,0.004243614875073708,-0.04873399216127747,0.0,0.0,0.0,1145.5426733606746,303.05361721947935,794.0004773564119
5,female,4.148672227313208e-06,0.13345819660804611,7.196409072689139e-07,0.011049029374788986,0.04193356152264341,0.0020383719769008386,0.001643322456841223,-0.09083567835871077,0.0,0.0,0.0,3987.856353002564,1054.9884529558874,2764.06974753328
5,male,6.942925811138985e-06,0.13578470166956036,1.1346314509114605e-06,0.02261528072302747,0.035430185222740745,-0.0006340099570198605,0.007548540304812242,-0.0494207385690066,0.0,0.0,0.0,1718.3140100410117,454.58042582921905,1191.0007160346179
6,female,5.549674599206876e-06,0.13345819660804611,9.900787993547792e-07,0.0114855279677206,0.04152346918919393,-0.00027687971358696453,0.0029505024894283063,-0.0890121243042002,0.0,0.0,0.0,5317.141804003419,1406.6512706078502,3685.426330044373
6,male,9.269491953186337e-06,0.13578470166956036,1.558031160242394e-06,0.021596073182432517,0.03502492095865093,-0.002788721424773896,0.013427347743712247,-0.050106724002033295,0.0,0.0,0.0,2291.085346721349,606.1072344389587,1588.0009547128238
7,female,6.959806959033408e-06,0.1334581966080461,1.2609902900663057e-06,0.011922375679466142,0.04111582842996702,-0.0025921283578465067,0.00529745806961957,-0.08718664990689928,0.0,0.0,0.0,6646.427255004273,1758.3140882598127,4606.782912555466
7,male,1.1602207253186811e-05,0.13578470166956036,1.979752778438226e-06,0.020577776916936186,0.03462216741403282,-0.004943432256889485,0.023884587104549868,-0.050791949116570756,0.0,0.0,0.0,2863.856683401686,757.6340430486983,1985.00119339103
8,female,7.4128969458323336e-06,0.1304987338264339,1.4095089937597347e-06,0.01235957271760068,0.041134316026122615,-0.004907373955694575,0.009511246188335805,-0.08535925247791712,0.0,0.0,0.0,9070.090659429188,2399.494883165052,6286.676594782425
8,male,1.0867087272875002e-05,0.13428287858183172,2.032108720521571e-06,0.019560391056152683,0.034610008160085165,-0.007098142453347749,0.04248596460946514,-0.05147641456838191,0.0,0.0,0.0,5576.424020075909,1475.244449569314,3865.140458327385
9,female,7.868879487551027e-06,0.1278640013713323,1.4974043682281253e-06,0.012797119289829333,0.04142175021748512,-0.007222616506975553,0.017076767928842242,-0.08352992932462729,0.0,0.0,0.0,11493.754063854101,3040.6756780702913,7966.570277009385
9,male,1.0130000552053247e-05,0.13255823519190604,1.8898902039790302e-06,0.018543914730387273,0.03498587674652014,-0.009252852014178687,0.07557418489590605,-0.052160121012606545,0.0,0.0,0.0,8288.99135675013,2192.8548560899294,5745.27972326374
10,female,8.327768569680244e-06,0.12550333191570506,1.5854533031563708e-06,0.013235015603960319,0.04163291232141657,-0.009537856011498671,0.030660010093927974,-0.08169867775064589,0.0,0.0,0.0,13917.417468279016,3681.8564729755303,9646.463959236342
10,male,9.390943451948413e-06,0.13055720947612492,1.7482256033853516e-06,0.017528347070887875,0.0354983348862231,-0.011407560939398638,0.1344317043151359,-0.052843069103964246,0.0,0.0,0.0,11001.558693424353,2910.4652626105453,7625.4189882000965
11,female,8.75603072835631e-06,0.12337607777332889,1.6746342545557781e-06,0.013969440263549224,0.041842528699496076,-0.011099665600287236,0.021890837945158295,-0.05425556739530324,0.0,0.0,0.0,16341.08087270393,4323.03726788077,11326.357641463303
11,male,8.641606117899832e-06,0.12820757689276063,1.6116937230866648e-06,0.01796121387979519,0.036212514605989087,-0.013356788632387283,0.06238060741507978,-0.038813243908385656,0.0,0.0,0.0,13714.126030098574,3628.0756691311612,9505.558253136453
