age,sex,prev,disability_rate,i,i_apc,f,f_apc,r,r_apc,income_first,income,income_last,expenditure_rate_first,expenditure_rate,expenditure_rate_last
0,female,0.0,0.0,0.0,-0.021396770868246734,0.0,0.05886399796429234,0.0,-0.20161948337231758,0.0,0.0,0.0,0.0,0.0,0.0
0,male,0.0,0.0,0.0,-0.0071112658244746815,0.0,0.020728243327046494,0.0,-0.19483737055658182,0.0,0.0,0.0,0.0,0.0,0.0
1,female,0.0,0.0,0.0,-0.020460026875480056,0.0,0.05395131023776183,0.0,-0.1861488591133107,0.0,0.0,0.0,0.0,0.0,0.0
1,male,0.0,0.0,0.0,-0.0075789848025555676,0.0,0.018035998742385047,0.0,-0.18022864661135463,0.0,0.0,0.0,0.0,0.0,0.0
2,female,0.0,0.0,0.0,-0.019516327551198295,0.0,0.04903865030997313,0.0,-0.1705504080340029,0.0,0.0,0.0,0.0,0.0,0.0
2,male,0.0,0.0,0.0,-0.00804608852338708,0.0,0.015343828066277161,0.0,-0.1654848236407756,0.0,0.0,0.0,0.0,0.0,0.0
3,female,1.370703618529186e-06,0.07046619757099903,1.6145834764094576e-07,-0.018565654119150562,0.019433929480349388,0.04412601817627265,0.0003065977075654315,-0.1548225815567862,0.0,0.0,0.0,0.0,0.0,0.0
3,male,2.898332368685031e-07,0.08416668548070022,4.484399861059542e-08,-0.008512576496580847,0.07819292070548983,0.012651731319027311,0.0001220425616240225,-0.1506042255636477,0.0,0.0,0.0,0.0,0.0,0.0
4,female,2.745360172524516e-06,0.07046619757099903,3.962946055732881e-07,-0.0176079877523436,0.027961097998781992,0.03921341383201983,0.0007017700734222891,-0.13896381234362185,0.0,0.0,0.0,0.0,0.0,0.0
4,male,5.793815593587525e-07,0.08416668548070022,1.1129048051356081e-07,-0.008978448231384734,0.11429668275337572,0.009959708520917956,0.0002371623555481169,-0.13558515550514127,0.0,0.0,0.0,0.0,0.0,0.0
5,female,4.123978232070781e-06,0.07046619757099903,6.233409921644017e-07,-0.01664330957300059,0.02679252636699843,0.03430083727256567,0.0016085506474216886,-0.12297251406866244,0.0,0.0,0.0,0.0,0.0,0.0
5,male,8.686451783924044e-07,0.08416668548070022,1.7666295785008833e-07,-0.009443703236711353,0.11133225236348139,0.007267759692262076,0.0004608522173286036,-0.12042589553836254,0.0,0.0,0.0,0.0,0.0,0.0
