age,sex,prev,disability_rate,i,i_apc,f,f_apc,r,r_apc,income_first,income,income_last,expenditure_rate_first,expenditure_rate,expenditure_rate_last
0,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008194299668235039,0.0,0.0,0.0,0.0,0.0,0.0
0,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018302729749213098,0.0,0.0,0.0,0.0,0.0,0.0
1,female,0.0,0.0,0.0,0.0016135585408692523,0.0,0.0072578054635142495,0.0,-0.00484068046328822,0.0,0.0,0.0,0.0,0.0,0.0
1,male,0.0,0.0,0.0,0.0016143214274966379,0.0,0.00725780192548764,0.0,-0.004842969125459039,0.0,0.0,0.0,0.0,0.0,0.0
2,female,0.0,0.0,0.0,0.0032271170817385047,0.0,0.014515610927028499,0.0,-0.00968136092657644,0.0,0.0,0.0,0.0,0.0,0.0
2,male,0.0,0.0,0.0,0.0032286428549932757,0.0,0.01451560385097528,0.0,-0.009685938250918078,0.0,0.0,0.0,0.0,0.0,0.0
3,female,0.0,0.0,0.0,0.004840675622607757,0.0,0.021773416390542717,0.0,-0.014522041389864663,0.0,0.0,0.0,0.0,0.0,0.0
3,male,0.0,0.0,0.0,0.0048429642824899186,0.0,0.02177340577646291,0.0,-0.014528907376377131,0.0,0.0,0.0,0.0,0.0,0.0
4,female,0.0,0.0,0.0,0.006454234163477013,0.0,0.02903122185405701,0.0,-0.01936272185315289,0.0,0.0,0.0,0.0,0.0,0.0
4,male,0.0,0.0,0.0,0.006457285709986555,0.0,0.029031207701950584,0.0,-0.019371876501836166,0.0,0.0,0.0,0.0,0.0,0.0
5,female,0.0,0.0,0.0,0.00806779270434626,0.0,0.03628902731757122,0.0,-0.0242034023164411,0.0,0.0,0.0,0.0,0.0,0.0
5,male,0.0,0.0,0.0,0.008071607137483191,0.0,0.03628900962743822,0.0,-0.0242148456272952,0.0,0.0,0.0,0.0,0.0,0.0
6,female,0.0,0.0,0.0,0.009681351245215521,0.0,0.043546832781085454,0.0,-0.029044082779729342,0.0,0.0,0.0,0.0,0.0,0.0
6,male,0.0,0.0,0.0,0.009685928564979839,0.0,0.043546811552925835,0.0,-0.02905781475275427,0.0,0.0,0.0,0.0,0.0,0.0
7,female,0.0,0.0,0.0,0.011294909786084772,0.0,0.050804638244599715,0.0,-0.03388476324301756,0.0,0.0,0.0,0.0,0.0,0.0
7,male,0.0,0.0,0.0,0.011300249992476467,0.0,0.05080461347841346,0.0,-0.033900783878213284,0.0,0.0,0.0,0.0,0.0,0.0
8,female,0.0,0.0,0.0,0.012908468326954026,0.0,0.058416654775332345,0.0,-0.03872544370630578,0.0,0.0,0.0,0.0,0.0,0.0
8,male,0.0,0.0,0.0,0.012914571419973103,0.0,0.05806241540390115,0.0,-0.03874375300367231,0.0,0.0,0.0,0.0,0.0,0.0
9,female,0.0,0.0,0.0,0.014522026867823275,0.0,0.056900304760252346,0.0,-0.043566124169593996,0.0,0.0,0.0,0.0,0.0,0.0
9,male,0.0,0.0,0.0,0.014528892847469731,0.0,0.04916172622413634,0.0,-0.043586722129131325,0.0,0.0,0.0,0.0,0.0,0.0
10,female,0.0,0.0,0.0,0.01613558540869252,0.0,0.05546091328993841,0.0,-0.0484068046328822,0.0,0.0,0.0,0.0,0.0,0.0
10,male,0.0,0.0,0.0,0.016143214274966382,0.0,0.06042109878320773,0.0,-0.0484296912545904,0.0,0.0,0.0,0.0,0.0,0.0
11,female,0.0,0.0,0.0,0.01774914394956178,0.0,0.06445041428394081,0.0,-0.05324748509617043,0.0,0.0,0.0,0.0,0.0,0.0
11,male,0.0,0.0,0.0,0.01775753570246302,0.0,0.06804999477896068,0.0,-0.05327266038004944,0.0,0.0,0.0,0.0,0.0,0.0
12,female,0.0,0.0,0.0,0.019362702490431042,0.0,0.07344296627161595,0.0,-0.058088165559458685,0.0,0.0,0.0,0.0,0.0,0.0
12,male,0.0,0.0,0.0,0.019371857129959678,0.0,0.0756790301804896,0.0,-0.05811562950550854,0.0,0.0,0.0,0.0,0.0,0.0
13,female,0.0,0.0,0.0,0.02097626103130029,0.0,0.08243857462839502,0.0,-0.06292884602274688,0.0,0.0,0.0,0.0,0.0,0.0
13,male,0.0,0.0,0.0,0.020986178557456294,0.0,0.08330820503982667,0.0,-0.06295859863096752,0.0,0.0,0.0,0.0,0.0,0.0
14,female,0.0,0.0,0.0,0.022589819572169545,0.0,0.09143724473920939,0.0,-0.06776952648603513,0.0,0.0,0.0,0.0,0.0,0.0
14,male,0.0,0.0,0.0,0.02285077150115765,0.0,0.09093751940947312,0.0,-0.06780156775642657,0.0,0.0,0.0,0.0,0.0,0.0
15,female,0.0,0.0,0.0,0.011594334508608212,0.0,0.10043898199836429,0.0,-0.0726102069493234,0.0,0.0,0.0,0.0,0.0,0.0
15,male,0.0,0.0,0.0,0.0255766348941171,0.0,0.09856697334161221,0.0,-0.0726445368818856,0.0,0.0,0.0,0.0,0.0,0.0
16,female,0.0,0.0,0.0,0.014900601532253557,0.0,0.10181478693298464,0.0,-0.07261416367935959,0.0,0.0,0.0,0.0,0.0,0.0
16,male,0.0,0.0,0.0,0.026692076276144533,0.0,0.09557905216029129,0.0,-0.07265252949023934,0.0,0.0,0.0,0.0,0.0,0.0
17,female,0.0,0.0,0.0,0.018217930721351482,0.0,0.10319366983342369,0.0,-0.0726181204093959,0.0,0.0,0.0,0.0,0.0,0.0
17,male,0.0,0.0,0.0,0.027808754247067705,0.0,0.09259127064628293,0.0,-0.07266052209859312,0.0,0.0,0.0,0.0,0.0,0.0
18,female,3.2809598183277824e-06,0.05317122296197238,3.125764012403504e-08,0.021546359102601068,0.009013336947499931,0.10457563612226685,2.047113738745126e-08,-0.07978360874898932,0.0,0.0,0.0,3614.580844349769,1147.4859823867707,3706.379722401323
18,male,6.7348181269764225e-06,0.05548214342185857,1.1715216195725089e-07,0.028926670181363096,0.0045123157289642685,0.08960362885233637,3.013661559997896e-08,-0.05991127097174864,0.0,0.0,0.0,0.0,0.0,0.0
19,female,6.553233553139635e-06,0.05317122296197238,7.855913005034947e-08,0.024885923826634446,0.012889556226827706,0.10596069123216255,6.4685067729561905e-06,-0.08416040016164514,0.0,0.0,0.0,7229.161688699538,2294.9719647735415,7412.759444802646
19,male,1.3466482945558456e-05,0.05548214342185857,2.931396120683612e-07,0.030045825454548886,0.006419475768962408,0.08661612683127719,1.3039093418334024e-05,-0.04808809876757297,0.0,0.0,0.0,0.0,0.0,0.0
20,female,9.816838821033989e-06,0.05317122296197239,1.2647953992675407e-07,0.02823666216846009,0.01228620444863696,0.10734884060504697,0.002043923407350811,-0.08851793196268297,0.0,0.0,0.0,10843.742533049308,3442.457947160312,11119.13916720397
20,male,2.0194996241376405e-05,0.05548214342185857,4.69897595564686e-07,0.031166221443900768,0.006093437490086887,0.08362876463504862,0.00564145163272589,-0.03612671332245884,0.0,0.0,0.0,0.0,0.0,0.0
21,female,1.3110906834958225e-05,0.05317122296197238,1.7340098061727194e-07,0.026801398334208734,0.011618886572493792,0.10584659005257824,0.00240689858237501,-0.08628224486139151,0.0,0.0,0.0,14458.323377399076,4589.943929547083,14825.518889605291
21,male,2.695275165156435e-05,0.05548214342185857,6.429320250989285e-07,0.028696793917722556,0.005751405715596036,0.0788334780703082,0.006143928811770873,-0.041658272210830946,0.0,0.0,0.0,0.0,0.0,0.0
22,female,1.641591437327227e-05,0.05317122296197239,2.2006030561468736e-07,0.02536818999305196,0.010955082039232927,0.10434561834513566,0.0028343312056013574,-0.08404146077495199,0.0,0.0,0.0,18072.904221748846,5737.429911933853,18531.898612006615
22,male,3.3723583599401304e-05,0.05548214342185856,8.143053297253837e-07,0.026233435521047968,0.005414746601278408,0.074040269918776,0.006691128562559393,-0.04716039734733124,0.0,0.0,0.0,0.0,0.0,0.0
23,female,1.62212537845269e-05,0.05321579591074617,2.3400663342915584e-07,0.023937034204110502,0.010451816415866094,0.102845924036145,0.0033376672692119417,-0.08179556810358153,0.0,0.0,0.0,14458.323377399076,4589.943929547083,14825.518889605291
