age,sex,acmr,disability_rate,acmr_apc,expenditure_rate,expenditure_rate_death,income,income_death,tax_rate,super_rate,excise_rate,gst_rate
45,female,0.001434587,0.152574376,-0.015,2757.851633,83229.03448,68307.20744,9432.427719,0.264483115,0,2831.354189,0.190917292
46,female,0.001434587,0.152574376,-0.015,2757.851633,83229.03448,68307.20744,9432.427719,0.264483115,0,2831.354189,0.190917292
47,female,0.001434587,0.152574376,-0.015,2757.851633,83229.03448,68307.20744,9432.427719,0.264483115,0,2831.354189,0.190917292
48,female,0.001434587,0.152574376,-0.015,2757.851633,83229.03448,68307.20744,9432.427719,0.264483115,0,2831.354189,0.190917292
49,female,0.001434587,0.152574376,-0.015,2757.851633,83229.03448,68307.20744,9432.427719,0.264483115,0,2831.354189,0.190917292
50,female,0.002086851,0.158665734,-0.015,3232.447676,87528.73293,62875.25644,9512.363548,0.264483115,0,2831.354189,0.190917292
51,female,0.002086851,0.158665734,-0.015,3232.447676,87528.73293,62875.25644,9512.363548,0.264483115,0,2831.354189,0.190917292
52,female,0.002086851,0.158665734,-0.015,3232.447676,87528.73293,62875.25644,9512.363548,0.264483115,0,2831.354189,0.190917292
53,female,0.002086851,0.158665734,-0.015,3232.447676,87528.73293,62875.25644,9512.363548,0.264483115,0,2831.354189,0.190917292
54,female,0.002086851,0.158665734,-0.015,3232.447676,87528.73293,62875.25644,9512.363548,0.264483115,0,2831.354189,0.190917292
55,female,0.00304881,0.164956793,-0.015,3860.520054,87913.60435,62875.25644,7722.613904,0.264483115,0,2831.354189,0.190917292
56,female,0.00304881,0.164956793,-0.015,3860.520054,87913.60435,62875.25644,7722.613904,0.264483115,0,2831.354189,0.190917292
57,female,0.00304881,0.164956793,-0.015,3860.520054,87913.60435,62875.25644,7722.613904,0.264483115,0,2831.354189,0.190917292
58,female,0.00304881,0.164956793,-0.015,3860.520054,87913.60435,62875.25644,7722.613904,0.264483115,0,2831.354189,0.190917292
59,female,0.00304881,0.164956793,-0.015,3860.520054,87913.60435,62875.25644,7722.613904,0.264483115,0,2831.354189,0.190917292
60,female,0.004886484,0.180058977,-0.015,4793.18392,78072.2297,62875.25644,5926.090038,0.264483115,0,2831.354189,0.190917292
