year,sex,births
2021,male,30114
2022,male,30341
2023,male,30803
2024,male,30649
2025,male,30598
2026,male,30598
2027,male,30546
2028,male,30546
2029,male,30495
2030,male,30495
2031,male,30444
2032,male,30444
2033,male,30444
2034,male,30444
2035,male,30546
2036,male,30598
2037,male,30700
2038,male,30854
2039,male,31008
2040,male,31162
2021,female,28545
2022,female,28759
2023,female,29197
2024,female,29051
2025,female,29002
2026,female,29002
2027,female,28954
2028,female,28954
2029,female,28905
2030,female,28905
2031,female,28856
2032,female,28856
2033,female,28856
2034,female,28856
2035,female,28954
2036,female,29002
2037,female,29100
2038,female,29246
2039,female,29392
2040,female,29538
