age,sex,s
0,male,1
1,male,1
2,male,1
3,male,1
4,male,1
5,male,1
6,male,1
7,male,1
8,male,1
9,male,1
10,male,1
11,male,1
12,male,1
13,male,1
14,male,1
15,male,1
16,male,1
17,male,1
18,male,1
19,male,1
20,male,0.315994647
21,male,0.315994647
22,male,0.315994647
23,male,0.315994647
24,male,0.315994647
25,male,0.315994647
26,male,0.315994647
27,male,0.315994647
28,male,0.315994647
29,male,0.315994647
30,male,0.315994647
31,male,0.315994647
32,male,0.315994647
33,male,0.315994647
34,male,0.315994647
35,male,0.315994647
36,male,0.315994647
37,male,0.315994647
38,male,0.315994647
39,male,0.315994647
40,male,0.315994647
41,male,0.315994647
42,male,0.315994647
43,male,0.315994647
44,male,0.315994647
45,male,0.315994647
46,male,0.315994647
47,male,0.315994647
48,male,0.315994647
49,male,0.315994647
50,male,0.315994647
51,male,0.315994647
52,male,0.315994647
53,male,0.315994647
54,male,0.315994647
55,male,0.315994647
56,male,0.315994647
57,male,0.315994647
58,male,0.315994647
59,male,0.315994647
60,male,0.315994647
61,male,0.315994647
62,male,0.315994647
63,male,0.315994647
64,male,0.315994647
65,male,0.315994647
66,male,0.315994647
67,male,0.315994647
68,male,0.315994647
69,male,0.315994647
70,male,0.315994647
71,male,0.315994647
72,male,0.315994647
73,male,0.315994647
74,male,0.315994647
75,male,0.315994647
76,male,0.315994647
77,male,0.315994647
78,male,0.315994647
79,male,0.315994647
80,male,0.315994647
81,male,0.315994647
82,male,0.315994647
83,male,0.315994647
84,male,0.315994647
85,male,0.315994647
86,male,0.315994647
87,male,0.315994647
88,male,0.315994647
89,male,0.315994647
90,male,0.315994647
91,male,0.315994647
92,male,0.315994647
93,male,0.315994647
94,male,0.315994647
95,male,0.315994647
96,male,0.315994647
97,male,0.315994647
98,male,0.315994647
99,male,0.315994647
100,male,0.315994647
101,male,0.315994647
102,male,0.315994647
103,male,0.315994647
104,male,0.315994647
105,male,0.315994647
106,male,0.315994647
107,male,0.315994647
108,male,0.315994647
109,male,0.315994647
0,female,1
1,female,1
2,female,1
3,female,1
4,female,1
5,female,1
6,female,1
7,female,1
8,female,1
9,female,1
10,female,1
11,female,1
12,female,1
13,female,1
14,female,1
15,female,1
16,female,1
17,female,1
18,female,1
19,female,1
20,female,0.315994647
21,female,0.315994647
22,female,0.315994647
23,female,0.315994647
24,female,0.315994647
25,female,0.315994647
26,female,0.315994647
27,female,0.315994647
28,female,0.315994647
29,female,0.315994647
30,female,0.315994647
31,female,0.315994647
32,female,0.315994647
33,female,0.315994647
34,female,0.315994647
35,female,0.315994647
36,female,0.315994647
37,female,0.315994647
38,female,0.315994647
39,female,0.315994647
40,female,0.315994647
41,female,0.315994647
42,female,0.315994647
43,female,0.315994647
44,female,0.315994647
45,female,0.315994647
46,female,0.315994647
47,female,0.315994647
48,female,0.315994647
49,female,0.315994647
50,female,0.315994647
51,female,0.315994647
52,female,0.315994647
53,female,0.315994647
54,female,0.315994647
55,female,0.315994647
56,female,0.315994647
57,female,0.315994647
58,female,0.315994647
59,female,0.315994647
60,female,0.315994647
61,female,0.315994647
62,female,0.315994647
63,female,0.315994647
64,female,0.315994647
65,female,0.315994647
66,female,0.315994647
67,female,0.315994647
68,female,0.315994647
69,female,0.315994647
70,female,0.315994647
71,female,0.315994647
72,female,0.315994647
73,female,0.315994647
74,female,0.315994647
75,female,0.315994647
76,female,0.315994647
77,female,0.315994647
78,female,0.315994647
79,female,0.315994647
80,female,0.315994647
81,female,0.315994647
82,female,0.315994647
83,female,0.315994647
84,female,0.315994647
85,female,0.315994647
86,female,0.315994647
87,female,0.315994647
88,female,0.315994647
89,female,0.315994647
90,female,0.315994647
91,female,0.315994647
92,female,0.315994647
93,female,0.315994647
94,female,0.315994647
95,female,0.315994647
96,female,0.315994647
97,female,0.315994647
98,female,0.315994647
99,female,0.315994647
100,female,0.315994647
101,female,0.315994647
102,female,0.315994647
103,female,0.315994647
104,female,0.315994647
105,female,0.315994647
106,female,0.315994647
107,female,0.315994647
108,female,0.315994647
109,female,0.315994647
