age,sex,s
0,male,1
1,male,1
2,male,1
3,male,1
4,male,1
5,male,1
6,male,1
7,male,1
8,male,1
9,male,1
10,male,1
11,male,1
12,male,1
13,male,1
14,male,1
15,male,1
16,male,1
17,male,1
18,male,1
19,male,1
20,male,0.338166385
21,male,0.338166385
22,male,0.338166385
23,male,0.338166385
24,male,0.338166385
25,male,0.338166385
26,male,0.338166385
27,male,0.338166385
28,male,0.338166385
29,male,0.338166385
30,male,0.338166385
31,male,0.338166385
32,male,0.338166385
33,male,0.338166385
34,male,0.338166385
35,male,0.338166385
36,male,0.338166385
37,male,0.338166385
38,male,0.338166385
39,male,0.338166385
40,male,0.338166385
41,male,0.338166385
42,male,0.338166385
43,male,0.338166385
44,male,0.338166385
45,male,0.338166385
46,male,0.338166385
47,male,0.338166385
48,male,0.338166385
49,male,0.338166385
50,male,0.338166385
51,male,0.338166385
52,male,0.338166385
53,male,0.338166385
54,male,0.338166385
55,male,0.338166385
56,male,0.338166385
57,male,0.338166385
58,male,0.338166385
59,male,0.338166385
60,male,0.338166385
61,male,0.338166385
62,male,0.338166385
63,male,0.338166385
64,male,0.338166385
65,male,0.338166385
66,male,0.338166385
67,male,0.338166385
68,male,0.338166385
69,male,0.338166385
70,male,0.338166385
71,male,0.338166385
72,male,0.338166385
73,male,0.338166385
74,male,0.338166385
75,male,0.338166385
76,male,0.338166385
77,male,0.338166385
78,male,0.338166385
79,male,0.338166385
80,male,0.338166385
81,male,0.338166385
82,male,0.338166385
83,male,0.338166385
84,male,0.338166385
85,male,0.338166385
86,male,0.338166385
87,male,0.338166385
88,male,0.338166385
89,male,0.338166385
90,male,0.338166385
91,male,0.338166385
92,male,0.338166385
93,male,0.338166385
94,male,0.338166385
95,male,0.338166385
96,male,0.338166385
97,male,0.338166385
98,male,0.338166385
99,male,0.338166385
100,male,0.338166385
101,male,0.338166385
102,male,0.338166385
103,male,0.338166385
104,male,0.338166385
105,male,0.338166385
106,male,0.338166385
107,male,0.338166385
108,male,0.338166385
109,male,0.338166385
0,female,1
1,female,1
2,female,1
3,female,1
4,female,1
5,female,1
6,female,1
7,female,1
8,female,1
9,female,1
10,female,1
11,female,1
12,female,1
13,female,1
14,female,1
15,female,1
16,female,1
17,female,1
18,female,1
19,female,1
20,female,0.338166385
21,female,0.338166385
22,female,0.338166385
23,female,0.338166385
24,female,0.338166385
25,female,0.338166385
26,female,0.338166385
27,female,0.338166385
28,female,0.338166385
29,female,0.338166385
30,female,0.338166385
31,female,0.338166385
32,female,0.338166385
33,female,0.338166385
34,female,0.338166385
35,female,0.338166385
36,female,0.338166385
37,female,0.338166385
38,female,0.338166385
39,female,0.338166385
40,female,0.338166385
41,female,0.338166385
42,female,0.338166385
43,female,0.338166385
44,female,0.338166385
45,female,0.338166385
46,female,0.338166385
47,female,0.338166385
48,female,0.338166385
49,female,0.338166385
50,female,0.338166385
51,female,0.338166385
52,female,0.338166385
53,female,0.338166385
54,female,0.338166385
55,female,0.338166385
56,female,0.338166385
57,female,0.338166385
58,female,0.338166385
59,female,0.338166385
60,female,0.338166385
61,female,0.338166385
62,female,0.338166385
63,female,0.338166385
64,female,0.338166385
65,female,0.338166385
66,female,0.338166385
67,female,0.338166385
68,female,0.338166385
69,female,0.338166385
70,female,0.338166385
71,female,0.338166385
72,female,0.338166385
73,female,0.338166385
74,female,0.338166385
75,female,0.338166385
76,female,0.338166385
77,female,0.338166385
78,female,0.338166385
79,female,0.338166385
80,female,0.338166385
81,female,0.338166385
82,female,0.338166385
83,female,0.338166385
84,female,0.338166385
85,female,0.338166385
86,female,0.338166385
87,female,0.338166385
88,female,0.338166385
89,female,0.338166385
90,female,0.338166385
91,female,0.338166385
92,female,0.338166385
93,female,0.338166385
94,female,0.338166385
95,female,0.338166385
96,female,0.338166385
97,female,0.338166385
98,female,0.338166385
99,female,0.338166385
100,female,0.338166385
101,female,0.338166385
102,female,0.338166385
103,female,0.338166385
104,female,0.338166385
105,female,0.338166385
106,female,0.338166385
107,female,0.338166385
108,female,0.338166385
109,female,0.338166385
