age,sex,s
0,male,1
1,male,1
2,male,1
3,male,1
4,male,1
5,male,1
6,male,1
7,male,1
8,male,1
9,male,1
10,male,1
11,male,1
12,male,1
13,male,1
14,male,1
15,male,1
16,male,1
17,male,1
18,male,1
19,male,1
20,male,0.090660812
21,male,0.090660812
22,male,0.090660812
23,male,0.090660812
24,male,0.090660812
25,male,0.090660812
26,male,0.090660812
27,male,0.090660812
28,male,0.090660812
29,male,0.090660812
30,male,0.090660812
31,male,0.090660812
32,male,0.090660812
33,male,0.090660812
34,male,0.090660812
35,male,0.090660812
36,male,0.090660812
37,male,0.090660812
38,male,0.090660812
39,male,0.090660812
40,male,0.090660812
41,male,0.090660812
42,male,0.090660812
43,male,0.090660812
44,male,0.090660812
45,male,0.090660812
46,male,0.090660812
47,male,0.090660812
48,male,0.090660812
49,male,0.090660812
50,male,0.090660812
51,male,0.090660812
52,male,0.090660812
53,male,0.090660812
54,male,0.090660812
55,male,0.090660812
56,male,0.090660812
57,male,0.090660812
58,male,0.090660812
59,male,0.090660812
60,male,0.090660812
61,male,0.090660812
62,male,0.090660812
63,male,0.090660812
64,male,0.090660812
65,male,0.090660812
66,male,0.090660812
67,male,0.090660812
68,male,0.090660812
69,male,0.090660812
70,male,0.090660812
71,male,0.090660812
72,male,0.090660812
73,male,0.090660812
74,male,0.090660812
75,male,0.090660812
76,male,0.090660812
77,male,0.090660812
78,male,0.090660812
79,male,0.090660812
80,male,0.090660812
81,male,0.090660812
82,male,0.090660812
83,male,0.090660812
84,male,0.090660812
85,male,0.090660812
86,male,0.090660812
87,male,0.090660812
88,male,0.090660812
89,male,0.090660812
90,male,0.090660812
91,male,0.090660812
92,male,0.090660812
93,male,0.090660812
94,male,0.090660812
95,male,0.090660812
96,male,0.090660812
97,male,0.090660812
98,male,0.090660812
99,male,0.090660812
100,male,0.090660812
101,male,0.090660812
102,male,0.090660812
103,male,0.090660812
104,male,0.090660812
105,male,0.090660812
106,male,0.090660812
107,male,0.090660812
108,male,0.090660812
109,male,0.090660812
0,female,1
1,female,1
2,female,1
3,female,1
4,female,1
5,female,1
6,female,1
7,female,1
8,female,1
9,female,1
10,female,1
11,female,1
12,female,1
13,female,1
14,female,1
15,female,1
16,female,1
17,female,1
18,female,1
19,female,1
20,female,0.090660812
21,female,0.090660812
22,female,0.090660812
23,female,0.090660812
24,female,0.090660812
25,female,0.090660812
26,female,0.090660812
27,female,0.090660812
28,female,0.090660812
29,female,0.090660812
30,female,0.090660812
31,female,0.090660812
32,female,0.090660812
33,female,0.090660812
34,female,0.090660812
35,female,0.090660812
36,female,0.090660812
37,female,0.090660812
38,female,0.090660812
39,female,0.090660812
40,female,0.090660812
41,female,0.090660812
42,female,0.090660812
43,female,0.090660812
44,female,0.090660812
45,female,0.090660812
46,female,0.090660812
47,female,0.090660812
48,female,0.090660812
49,female,0.090660812
50,female,0.090660812
51,female,0.090660812
52,female,0.090660812
53,female,0.090660812
54,female,0.090660812
55,female,0.090660812
56,female,0.090660812
57,female,0.090660812
58,female,0.090660812
59,female,0.090660812
60,female,0.090660812
61,female,0.090660812
62,female,0.090660812
63,female,0.090660812
64,female,0.090660812
65,female,0.090660812
66,female,0.090660812
67,female,0.090660812
68,female,0.090660812
69,female,0.090660812
70,female,0.090660812
71,female,0.090660812
72,female,0.090660812
73,female,0.090660812
74,female,0.090660812
75,female,0.090660812
76,female,0.090660812
77,female,0.090660812
78,female,0.090660812
79,female,0.090660812
80,female,0.090660812
81,female,0.090660812
82,female,0.090660812
83,female,0.090660812
84,female,0.090660812
85,female,0.090660812
86,female,0.090660812
87,female,0.090660812
88,female,0.090660812
89,female,0.090660812
90,female,0.090660812
91,female,0.090660812
92,female,0.090660812
93,female,0.090660812
94,female,0.090660812
95,female,0.090660812
96,female,0.090660812
97,female,0.090660812
98,female,0.090660812
99,female,0.090660812
100,female,0.090660812
101,female,0.090660812
102,female,0.090660812
103,female,0.090660812
104,female,0.090660812
105,female,0.090660812
106,female,0.090660812
107,female,0.090660812
108,female,0.090660812
109,female,0.090660812
