age,sex,s
0,male,1
1,male,1
2,male,1
3,male,1
4,male,1
5,male,1
6,male,1
7,male,1
8,male,1
9,male,1
10,male,1
11,male,1
12,male,1
13,male,1
14,male,1
15,male,1
16,male,1
17,male,1
18,male,1
19,male,1
20,male,0.154889102
21,male,0.154889102
22,male,0.154889102
23,male,0.154889102
24,male,0.154889102
25,male,0.154889102
26,male,0.154889102
27,male,0.154889102
28,male,0.154889102
29,male,0.154889102
30,male,0.154889102
31,male,0.154889102
32,male,0.154889102
33,male,0.154889102
34,male,0.154889102
35,male,0.154889102
36,male,0.154889102
37,male,0.154889102
38,male,0.154889102
39,male,0.154889102
40,male,0.154889102
41,male,0.154889102
42,male,0.154889102
43,male,0.154889102
44,male,0.154889102
45,male,0.154889102
46,male,0.154889102
47,male,0.154889102
48,male,0.154889102
49,male,0.154889102
50,male,0.154889102
51,male,0.154889102
52,male,0.154889102
53,male,0.154889102
54,male,0.154889102
55,male,0.154889102
56,male,0.154889102
57,male,0.154889102
58,male,0.154889102
59,male,0.154889102
60,male,0.154889102
61,male,0.154889102
62,male,0.154889102
63,male,0.154889102
64,male,0.154889102
65,male,0.154889102
66,male,0.154889102
67,male,0.154889102
68,male,0.154889102
69,male,0.154889102
70,male,0.154889102
71,male,0.154889102
72,male,0.154889102
73,male,0.154889102
74,male,0.154889102
75,male,0.154889102
76,male,0.154889102
77,male,0.154889102
78,male,0.154889102
79,male,0.154889102
80,male,0.154889102
81,male,0.154889102
82,male,0.154889102
83,male,0.154889102
84,male,0.154889102
85,male,0.154889102
86,male,0.154889102
87,male,0.154889102
88,male,0.154889102
89,male,0.154889102
90,male,0.154889102
91,male,0.154889102
92,male,0.154889102
93,male,0.154889102
94,male,0.154889102
95,male,0.154889102
96,male,0.154889102
97,male,0.154889102
98,male,0.154889102
99,male,0.154889102
100,male,0.154889102
101,male,0.154889102
102,male,0.154889102
103,male,0.154889102
104,male,0.154889102
105,male,0.154889102
106,male,0.154889102
107,male,0.154889102
108,male,0.154889102
109,male,0.154889102
0,female,1
1,female,1
2,female,1
3,female,1
4,female,1
5,female,1
6,female,1
7,female,1
8,female,1
9,female,1
10,female,1
11,female,1
12,female,1
13,female,1
14,female,1
15,female,1
16,female,1
17,female,1
18,female,1
19,female,1
20,female,0.154889102
21,female,0.154889102
22,female,0.154889102
23,female,0.154889102
24,female,0.154889102
25,female,0.154889102
26,female,0.154889102
27,female,0.154889102
28,female,0.154889102
29,female,0.154889102
30,female,0.154889102
31,female,0.154889102
32,female,0.154889102
33,female,0.154889102
34,female,0.154889102
35,female,0.154889102
36,female,0.154889102
37,female,0.154889102
38,female,0.154889102
39,female,0.154889102
40,female,0.154889102
41,female,0.154889102
42,female,0.154889102
43,female,0.154889102
44,female,0.154889102
45,female,0.154889102
46,female,0.154889102
47,female,0.154889102
48,female,0.154889102
49,female,0.154889102
50,female,0.154889102
51,female,0.154889102
52,female,0.154889102
53,female,0.154889102
54,female,0.154889102
55,female,0.154889102
56,female,0.154889102
57,female,0.154889102
58,female,0.154889102
59,female,0.154889102
60,female,0.154889102
61,female,0.154889102
62,female,0.154889102
63,female,0.154889102
64,female,0.154889102
65,female,0.154889102
66,female,0.154889102
67,female,0.154889102
68,female,0.154889102
69,female,0.154889102
70,female,0.154889102
71,female,0.154889102
72,female,0.154889102
73,female,0.154889102
74,female,0.154889102
75,female,0.154889102
76,female,0.154889102
77,female,0.154889102
78,female,0.154889102
79,female,0.154889102
80,female,0.154889102
81,female,0.154889102
82,female,0.154889102
83,female,0.154889102
84,female,0.154889102
85,female,0.154889102
86,female,0.154889102
87,female,0.154889102
88,female,0.154889102
89,female,0.154889102
90,female,0.154889102
91,female,0.154889102
92,female,0.154889102
93,female,0.154889102
94,female,0.154889102
95,female,0.154889102
96,female,0.154889102
97,female,0.154889102
98,female,0.154889102
99,female,0.154889102
100,female,0.154889102
101,female,0.154889102
102,female,0.154889102
103,female,0.154889102
104,female,0.154889102
105,female,0.154889102
106,female,0.154889102
107,female,0.154889102
108,female,0.154889102
109,female,0.154889102
