age,sex,s
0,male,1
1,male,1
2,male,1
3,male,1
4,male,1
5,male,1
6,male,1
7,male,1
8,male,1
9,male,1
10,male,1
11,male,1
12,male,1
13,male,1
14,male,1
15,male,1
16,male,1
17,male,1
18,male,1
19,male,1
20,male,0.176742017
21,male,0.176742017
22,male,0.176742017
23,male,0.176742017
24,male,0.176742017
25,male,0.176742017
26,male,0.176742017
27,male,0.176742017
28,male,0.176742017
29,male,0.176742017
30,male,0.176742017
31,male,0.176742017
32,male,0.176742017
33,male,0.176742017
34,male,0.176742017
35,male,0.176742017
36,male,0.176742017
37,male,0.176742017
38,male,0.176742017
39,male,0.176742017
40,male,0.176742017
41,male,0.176742017
42,male,0.176742017
43,male,0.176742017
44,male,0.176742017
45,male,0.176742017
46,male,0.176742017
47,male,0.176742017
48,male,0.176742017
49,male,0.176742017
50,male,0.176742017
51,male,0.176742017
52,male,0.176742017
53,male,0.176742017
54,male,0.176742017
55,male,0.176742017
56,male,0.176742017
57,male,0.176742017
58,male,0.176742017
59,male,0.176742017
60,male,0.176742017
61,male,0.176742017
62,male,0.176742017
63,male,0.176742017
64,male,0.176742017
65,male,0.176742017
66,male,0.176742017
67,male,0.176742017
68,male,0.176742017
69,male,0.176742017
70,male,0.176742017
71,male,0.176742017
72,male,0.176742017
73,male,0.176742017
74,male,0.176742017
75,male,0.176742017
76,male,0.176742017
77,male,0.176742017
78,male,0.176742017
79,male,0.176742017
80,male,0.176742017
81,male,0.176742017
82,male,0.176742017
83,male,0.176742017
84,male,0.176742017
85,male,0.176742017
86,male,0.176742017
87,male,0.176742017
88,male,0.176742017
89,male,0.176742017
90,male,0.176742017
91,male,0.176742017
92,male,0.176742017
93,male,0.176742017
94,male,0.176742017
95,male,0.176742017
96,male,0.176742017
97,male,0.176742017
98,male,0.176742017
99,male,0.176742017
100,male,0.176742017
101,male,0.176742017
102,male,0.176742017
103,male,0.176742017
104,male,0.176742017
105,male,0.176742017
106,male,0.176742017
107,male,0.176742017
108,male,0.176742017
109,male,0.176742017
0,female,1
1,female,1
2,female,1
3,female,1
4,female,1
5,female,1
6,female,1
7,female,1
8,female,1
9,female,1
10,female,1
11,female,1
12,female,1
13,female,1
14,female,1
15,female,1
16,female,1
17,female,1
18,female,1
19,female,1
20,female,0.176742017
21,female,0.176742017
22,female,0.176742017
23,female,0.176742017
24,female,0.176742017
25,female,0.176742017
26,female,0.176742017
27,female,0.176742017
28,female,0.176742017
29,female,0.176742017
30,female,0.176742017
31,female,0.176742017
32,female,0.176742017
33,female,0.176742017
34,female,0.176742017
35,female,0.176742017
36,female,0.176742017
37,female,0.176742017
38,female,0.176742017
39,female,0.176742017
40,female,0.176742017
41,female,0.176742017
42,female,0.176742017
43,female,0.176742017
44,female,0.176742017
45,female,0.176742017
46,female,0.176742017
47,female,0.176742017
48,female,0.176742017
49,female,0.176742017
50,female,0.176742017
51,female,0.176742017
52,female,0.176742017
53,female,0.176742017
54,female,0.176742017
55,female,0.176742017
56,female,0.176742017
57,female,0.176742017
58,female,0.176742017
59,female,0.176742017
60,female,0.176742017
61,female,0.176742017
62,female,0.176742017
63,female,0.176742017
64,female,0.176742017
65,female,0.176742017
66,female,0.176742017
67,female,0.176742017
68,female,0.176742017
69,female,0.176742017
70,female,0.176742017
71,female,0.176742017
72,female,0.176742017
73,female,0.176742017
74,female,0.176742017
75,female,0.176742017
76,female,0.176742017
77,female,0.176742017
78,female,0.176742017
79,female,0.176742017
80,female,0.176742017
81,female,0.176742017
82,female,0.176742017
83,female,0.176742017
84,female,0.176742017
85,female,0.176742017
86,female,0.176742017
87,female,0.176742017
88,female,0.176742017
89,female,0.176742017
90,female,0.176742017
91,female,0.176742017
92,female,0.176742017
93,female,0.176742017
94,female,0.176742017
95,female,0.176742017
96,female,0.176742017
97,female,0.176742017
98,female,0.176742017
99,female,0.176742017
100,female,0.176742017
101,female,0.176742017
102,female,0.176742017
103,female,0.176742017
104,female,0.176742017
105,female,0.176742017
106,female,0.176742017
107,female,0.176742017
108,female,0.176742017
109,female,0.176742017
