age,sex,s
0,male,1
1,male,1
2,male,1
3,male,1
4,male,1
5,male,1
6,male,1
7,male,1
8,male,1
9,male,1
10,male,1
11,male,1
12,male,1
13,male,1
14,male,1
15,male,1
16,male,1
17,male,1
18,male,1
19,male,1
20,male,0.025813167
21,male,0.025813167
22,male,0.025813167
23,male,0.025813167
24,male,0.025813167
25,male,0.025813167
26,male,0.025813167
27,male,0.025813167
28,male,0.025813167
29,male,0.025813167
30,male,0.025813167
31,male,0.025813167
32,male,0.025813167
33,male,0.025813167
34,male,0.025813167
35,male,0.025813167
36,male,0.025813167
37,male,0.025813167
38,male,0.025813167
39,male,0.025813167
40,male,0.025813167
41,male,0.025813167
42,male,0.025813167
43,male,0.025813167
44,male,0.025813167
45,male,0.025813167
46,male,0.025813167
47,male,0.025813167
48,male,0.025813167
49,male,0.025813167
50,male,0.025813167
51,male,0.025813167
52,male,0.025813167
53,male,0.025813167
54,male,0.025813167
55,male,0.025813167
56,male,0.025813167
57,male,0.025813167
58,male,0.025813167
59,male,0.025813167
60,male,0.025813167
61,male,0.025813167
62,male,0.025813167
63,male,0.025813167
64,male,0.025813167
65,male,0.025813167
66,male,0.025813167
67,male,0.025813167
68,male,0.025813167
69,male,0.025813167
70,male,0.025813167
71,male,0.025813167
72,male,0.025813167
73,male,0.025813167
74,male,0.025813167
75,male,0.025813167
76,male,0.025813167
77,male,0.025813167
78,male,0.025813167
79,male,0.025813167
80,male,0.025813167
81,male,0.025813167
82,male,0.025813167
83,male,0.025813167
84,male,0.025813167
85,male,0.025813167
86,male,0.025813167
87,male,0.025813167
88,male,0.025813167
89,male,0.025813167
90,male,0.025813167
91,male,0.025813167
92,male,0.025813167
93,male,0.025813167
94,male,0.025813167
95,male,0.025813167
96,male,0.025813167
97,male,0.025813167
98,male,0.025813167
99,male,0.025813167
100,male,0.025813167
101,male,0.025813167
102,male,0.025813167
103,male,0.025813167
104,male,0.025813167
105,male,0.025813167
106,male,0.025813167
107,male,0.025813167
108,male,0.025813167
109,male,0.025813167
0,female,1
1,female,1
2,female,1
3,female,1
4,female,1
5,female,1
6,female,1
7,female,1
8,female,1
9,female,1
10,female,1
11,female,1
12,female,1
13,female,1
14,female,1
15,female,1
16,female,1
17,female,1
18,female,1
19,female,1
20,female,0.025813167
21,female,0.025813167
22,female,0.025813167
23,female,0.025813167
24,female,0.025813167
25,female,0.025813167
26,female,0.025813167
27,female,0.025813167
28,female,0.025813167
29,female,0.025813167
30,female,0.025813167
31,female,0.025813167
32,female,0.025813167
33,female,0.025813167
34,female,0.025813167
35,female,0.025813167
36,female,0.025813167
37,female,0.025813167
38,female,0.025813167
39,female,0.025813167
40,female,0.025813167
41,female,0.025813167
42,female,0.025813167
43,female,0.025813167
44,female,0.025813167
45,female,0.025813167
46,female,0.025813167
47,female,0.025813167
48,female,0.025813167
49,female,0.025813167
50,female,0.025813167
51,female,0.025813167
52,female,0.025813167
53,female,0.025813167
54,female,0.025813167
55,female,0.025813167
56,female,0.025813167
57,female,0.025813167
58,female,0.025813167
59,female,0.025813167
60,female,0.025813167
61,female,0.025813167
62,female,0.025813167
63,female,0.025813167
64,female,0.025813167
65,female,0.025813167
66,female,0.025813167
67,female,0.025813167
68,female,0.025813167
69,female,0.025813167
70,female,0.025813167
71,female,0.025813167
72,female,0.025813167
73,female,0.025813167
74,female,0.025813167
75,female,0.025813167
76,female,0.025813167
77,female,0.025813167
78,female,0.025813167
79,female,0.025813167
80,female,0.025813167
81,female,0.025813167
82,female,0.025813167
83,female,0.025813167
84,female,0.025813167
85,female,0.025813167
86,female,0.025813167
87,female,0.025813167
88,female,0.025813167
89,female,0.025813167
90,female,0.025813167
91,female,0.025813167
92,female,0.025813167
93,female,0.025813167
94,female,0.025813167
95,female,0.025813167
96,female,0.025813167
97,female,0.025813167
98,female,0.025813167
99,female,0.025813167
100,female,0.025813167
101,female,0.025813167
102,female,0.025813167
103,female,0.025813167
104,female,0.025813167
105,female,0.025813167
106,female,0.025813167
107,female,0.025813167
108,female,0.025813167
109,female,0.025813167
